Topic,Count,Name,Representation,Representative_Docs
-1,4467,-1_org_go_get_good,"['org', 'go', 'get', 'good', 'place', 'food', 'like', 'time', 'order', 'one']","['second last time visit <org> food always decent good selection cocktail service terrible seat patio along several guest reason server one table patio constantly forget take 30 minute get drink place order food reasonable time someone else deliver check see everything look good asordered nada get food didnt see 30 minute food go empty plate remain first round cocktail long go would offer time come bring check even water bottom bring check apology didnt offer refill drink leave dirty obviously empty plat give credit card right away fear may see another hour believe sit another 30 minute give card point miss movie hop catch happy come back patio saw rudely ask bring check say ummm think obvioulsy still amongst dirty dish empty glass storm huff explanation apology manager bring final check minute later end apologize internal miscommunication offer buy another round drink pass sit hour place want run far far away imo shouldnt charge first round drink personally run card go ahead charge full price everything offer couple drink never eat terrible service', 'update review since place change much since last review nnsome really good bartender fire run since last review <person> <person> <person> <person> specific pretty much every good bartender note first review place turnover pretty high nice bar tell something nnif gamble expect drink comped take note get one drink every 20 put one place doesnt matter long play matter much money put put 20 hit something decent kind isnt easy tight machine play back one drink get stick tab basically cash anytime hit something decent start possibly get around thisnni tell corporate policy odd consider place <org> include <org> <org> dont seem stingy cheap beer playingnnanyways happen numerous time place last incident push edge put 100 play couple hour get hand tabnnwhatevernndo favor area go <org> amazing craft brew selection good food reasonable price 40 big screen tv watch game <org> great bartender great food price <org> <org> much good place spend money nickel dim cheap bud light play machine like <org> goldnnmy first review place state best place northwest certainly case anymore really sad consider much money put place place go areannit really nice place really good employee food pretty good even though little pricey side nnproblem inconsistent cant seem figure want maybe someday itll get figure pas', '<fac> many time attend <org> <org> mostly never leave think wont back well leave <org> feeling like would never back decide call management morning see could take away bad feeling upon leavingnnthe night start well <org> website hookah 2010 refill think great discount compare <org> decide hit new place husband come werent greet decide go patio area seat seat promptly greet waitress bring menu also make great suggestion first glance menu notice hookah price 3015 refill well say already really want hookah decide stay also menu state spend 50 guest never see menu life figure hookah 30 drink 24nu confessional great would spend 50 minimum promptly bring drink also hookah get hookah drop didnt ask know use even try make sure workedlike hookah place agree review hookah burn quickly husband great time decide get refill second refill well <org> guy keep come change coal make sure work properly nnat 2am ask server bill great night turn bad give bill 20 gratuity already place bill last check thats party also know suppose tip waitress waiter get tell mein recession none less much suppose tip server wasnt tell would protocol waitress say automatically charge order hookah sit table think suppose stand hookah come cash pay hookah drink say cheap people please recession hard earn money go towards something want happen something business think put end bill want nni paid bill call nunext day price website different get also nothing menu state party would pay 20 gratuity well go bad worst get manager name website call lounge manager happen pick explain happen explain good time lounge everything nice say didnt complain price hookah different site 20 gratuity party little two much first apologize get correct information go tell vegas nightlife suppose pay maybe aware vega night life never husband go least time month pay gratuity two tip well 20 steep explain werent tell talk basically opinion didnt want fix problem see customer service 15 year way treat phone show bad review feel like get arguing match phone ask anyone high felt wasnt take feeling consideration business advertises website totally different price menu feel like misleading also server dont let customer know 20 gratuity good business understand new business youre get foot wet customer pay ask someone say manager say see theres director well say didnt know director could couldnt say return money 20 gratuity 10 pay hookah get bad customer service want compensate say would return gratuity try make feel bad take server explain didnt feel bad work company didnt practice good customer service thing werent explain <org> club lounge clubs charge 20 lounge']"
0,647,0_room_hotel_casino_stay,"['room', 'hotel', 'casino', 'stay', 'bed', 'org', 'desk', 'pool', 'strip', 'night']","['get back stay <org> last night never stay ive stay hotel past use <org> go hill since quick chat person help check tell hotel sell couple time process sell employee also mention money go hotel really easy see walk around place give upgraded room upgraded room newish look tile upgraded bathroom bad shower didnt work come back first night morning take shower hot water tub would drain get phone let know could believe tell please run sink hot water 10 minute hang person call front desk thing get bad front desk end move new room paper thin wall shower fully work hot water people neighboring room sound like room russian couple wake real early wake next two night stay room shower least hot water unable pull little shower lever way bathtub get shower head work right water pressure suck rest hotel joke need really good clean carpet look like 50 year old everything dirty <org> never ever stay id rather stay <org> stay would give place star could', 'stay <org> last time vega meet friend choose stay ugh know wrong hotel casino cool expensive 160 night first room go smell like someone pour water floor let mold grow week hour give another room fine still overprice casino bad location far central strip want go new york new york cuz thats place close hotel oh <org> food casino bad overall happy stay hotel never', 'get back night stay <org> doubt ill go back hotel fell well short expectation short room wasnt ready arrive item room didnt work room continue poorly clean stay hotel staff general helpfulnnupon arrival inform didnt room available like reserve didnt know long would one would ready try upsell another room 50 night decline choose wait room request clean become available give key inform would call shortly let know room number key would automatically activate room roughly hour wait receive call room ready system activate key wasnt work need go back front desk get new key make get back front desk get new key make another attempt make front desk employee upsell different room time 30 night decline however able talk put room high floor originally assign originally assign room 30th floor end room 61st floornnat first glance room nice long stay issue find find empty beer one cabinet within first 30 second enter room yet maid didnt seem able find dispose day stay mini bar miss item worry would show bill check front desk issue take item bill light room control via wall switch via dimming option tv kind neat system except rarely work first night never able control light feature room use tv also never able get tv living room area come first day suspect issue relate jacuzzi feature bath tub didnt work maid seem come every day yet saw sign room ever vacuum iron room broken knob couldnt tell set change setting issue room get pickier ill stop sound bad didnt stress much really didnt spend much time room begin withnnthe staff <org> leave much desire well people deal front desk really helpful pleasant talk end work well didnt happen front desk call tell room ready also call bellhop bag leave bring room instead stand line deal bellhop rent car day <org> desk inside hotel upon try return car one work desk 11am couple line front <org> desk wait nearly 35min hotel staff dumbfound someone wasnt work desk wait 20min couple behind wait 10min cant fault hotel much <org> job organization communication among hotel staff resolve situation patheticnnmy girlfriend order bday cake hotel deliver room specific time day surprise request confirm multiple time hotel assure cake would deliver room time request course cake fact deliver time ask anywhere close time ask dont actually know deliver leave make dinner reservation return room much later even cake sit room apology explanation ever give cake wasnt deliver requestednnwhile wasnt one big incident really make dislike stay <org> numerous little thing end stay make look back wonder maybe stay different hotel truly expect <org> favor stay another hotel']"
1,596,1_order_table_food_restaurant,"['order', 'table', 'food', 'restaurant', 'come', 'good', 'menu', 'ask', 'get', 'one']","['place okay menu seem little generic lack anything unique seem like something could find almost nice restaurant wasnt thrill tell first choice entree scallop nmy husband order course 59 prix fixe menu enjoy blue cheese souffle start would say one unique thing menu husband caesar salad good nothing special fish entree wish could remember kind sort white fish decent perhaps little salted husband chicken say good compare similar entree lunch <org> banana foster dessert wasnt crazy leave half plate doesnt happen often dessert husband peanut butter dessert thing like meal good spectacular enjoy complimentary butterscotch pudding come dessert na note restaurant aside foodnprice wise didnt think bad little shock cocktail 17 time pay much cocktail <org> costa mesa essentially drink price since get margarita glass well everything cocktail shaker expect price get average size drink taste bit average way sweet likingnservice polite little lacking appetizer come bread notice people sit next get bread specifically ask doubt would give dont recall ever go restaurant happen even place like <org> let alone supposed fine din establishment ni find bit disconcert restaurant seem like try evoke calm quiet environment yet clear view middle casino could hear noise pretty loudly throughout meal ive eaten quite restaurant vega casino never bother perhaps acoustic werent great say say like booth similar cabana style booth <org> nonly order meal serve appetizer notice several table next order suppose best burger vega ask tell bar menu know bar menu burger server never inform option order server say could next time hmm sure next time many place pick vega even <org> doubt back merely mediocre experience', 'must admit excited try restaurant read great review see picture food arrive early hostess suggest sit bar table ready sit lounge area order drink shortly table ready ask hostess tell bartender server show table please bring drink ready show table wait 15 minute bartender bring drink say look since idea go turn hostess never pass message along poor communication restaurant pride great food service move take time waiter finally address nice already decide go get seabass mom go order filet mignon go order waiter inform theyre selection wait steakhouse youre filet mignon 8pm <org> disappointing point order ask bread look delicious picture <org> post bring two order guess theyre run want make sure enough sweet thoughtful gesture youre go run bread go mom husband share 40 oz ultimate steak think good value steak wasnt impressive get salmon didnt even finish half justeh waiter idea felt meal didnt check favorite part meal side mash potato yum macaroni cheese drink creative tasty service okayit take plate clear never check despite fact multiple manager walk around pass table plenty time understand run food wasnt waiter fault didnt even offer complimentary dessert anything seem bit odd nice restaurant excited dine disappointed leave family always let pick restaurant love yelping read review time completely let maybe night unfortunately ill never return go vegas quite oftenactually go day', 'weve din restaurant time weve never impress pretentious way expensive quality problem pay high price worthy food food isnt worthy nnthis time seat soon arrive able sit outside lovely evening nice bonus nnour waitress incredibly slow check enough flag drink refill ask diet coke didnt bring ask second time act like first time request still take ten minute bring need refill nowhere seennnwe ordered shrimp cocktail appetizer come quickly tasted pretty good 14 six piece shrimp however little steep nni order soup day potato leek soup waitress however bring french onionnni order filet mignon request cook medium steak receive well accompaniment request crab cake tasted good neither steak crab cake kind sauce condiment dry piece steak dry crab cake sit side side sauce side dish whatsoever apparently want steak sauce sauce crab would spend another 15 preparation want side dish vegetable would purchase separately well side vary 12 extra nnkeep mind order steak dont specify want particular sauce preparation pay extra dont specifically order extra side dish pay extra get simply piece meat plate nnno soup salad come meal everything la carte everything extra nni every intention order vegetable problem serve nothing season middle july local produce abundant delicious vegetable herb sort menu menu saw back january salad thing like iceberg wedge dried cranberry wheres heirloom tomatoes side dish vegetable thing like mixed root vegetable nothing root vegetable 90 degree goodness sake want something grilled something light something summery theyre miss really wonderful opportunity incorporate seasonal produce menu none vegetable offer appeal meal meat nnmy date order hamburger pretentious crap ive ever see burger come giant rockhard bun top bun serve upsidedown lettuce tomato top wish take picture thing roll eye hit table needless say bun inedible take meat bun eat knife fork waitress come check tell bun inedible whole presentation silly agree say everyone take meat bun scoop bun table scurry away everyone complaint everyones bun completely go waste big hard stupidly assembled still serve way nnthe last time eat make mistake order king crab market price receive literally two crab leg lovely market price 60 crab good wont make mistake ordering ever worth moneynnanother problem restaurant call <org> word seafood name restaurant four seafood entree menu salmon pike crab lobster crab lobster market price id avoid order youre leave salmon pike lot option seafood restaurant seafood menu label origin idea sustainablysourced waitress didnt seem educate either nndespite problem offer apology give opportunity speak manager finish waitress bring dessert menu consider order 15 minute go waitress never return enough decide leave still take another 20 minute get bill pay get doornnas nice restaurant casino place really well step']"
2,511,2_bar_club_drink_beer,"['bar', 'club', 'drink', 'beer', 'dance', 'music', 'night', 'bartender', 'place', 'org']","['place favorite mine since start go bar definitely dive exceptionally clean also wouldnt say dirty place ever either leave wee hour morning dont feel though may contract terrible disease need bathe purell get home summer time expect little moist inside though fan move air around pretty well cant handle moist wind whip hair skirt well head nice airconditioned scottsdale bar nnthey hit nail head decor doesnt feel halfdone like afterthought depend time arrive friday saturday night may find seat unless steal one away little eyelash batting usually come saturday night awesome dj pm give great opportunity dance music dont get hear often would like note would like say reasonably attractive young lady dance expect approach least one guy think get game great move name several different time turn around find strange guy dance right behind like belong goofy grin face cant fault em try guessnnbe prepare meet interesting people one time old boyfriend meet gentleman name <person> probably parent age instantly decide make twosome threesome like pervert spend even playing pool ex difficulty remember whether stripe solid keep straight repeatedly tell look like character <person> try drink say exs pitcher beer purpose tell <person> scare illustrate place full character addition average joes obligatory barflies definitely see punks hipster metalheads greaser probably people subculture think mention oldtimer come decade sorry leave anyone forgive comfort zone full people pop collar polo shirt end every sentence word bro probably go somewhere else type sometimes show ive notice usually dip hour sonnthe bad part place lady room dirty generally kinda toilet door doesnt lock rely either gal wait let people know use potential drunk recall common sense notion knock enter say havent walk yet cant let detract ratingnnthe drink cheap wellmade watery im really beer person time plenty would drink usually 34 mixed drink leave feel pretty good without spend 20 buck include tip well 3540 buck depend drink every time bartender old lady dont know work every night weekend amaze may look little grumpy dont fool shes really dollnni highly recommend place hope continue frequent year come love <org>', 'stop last saturday friend come city see never one thing say never know big ive honestly know big know first walk table opposite bar think <org> end hahahaha search bathroom wasnt easy notice little hideaway spot sit well dance floor back mention downstairs another little barnni knock star service wasnt really good personal drink order fine friend bf order drink different bartender say really difficult get drink wasnt even busy bartender busy joke eachother reply texts dance around even notice people patiently wait serve literally wait minute front bar wasnt busy anywaysssssssss friend order drink one cool mug male bartender make boyfriend drink first weird end sit save table stand wait drink forever day later sit say idea order also ask souvenir mug drink ok dont know mess total drink ordernnthe atmosphere fun though since venture entire club think totally cool kind want head back service spotty though honestly wont come back really often suck vibe music nice', 'look something quick thursday people <org> hand wristband get discounted price 10 say go go another employee even offer walk front line reiterate 10 sound nice easy walk line leave doorperson say go 30 leave say could 20 get inside place tiny pretty much size living room change know thursday also pretty empty pocket people dance drink 15 thank dj pretty good lot hiphop pop top 40 get <person> <person> <person> etc honestly though still would disappoint spend 10 get place small expensive literally room bar couch feel sorry people get suckered bottle service like <org> also offer deal get different club different hotel experience one know good push luck deal free entry club mention open bar know would go would walk door ask another 20 steer clear place become synonymous bad club friend']"
3,339,3_mexican_salsa_taco_burrito,"['mexican', 'salsa', 'taco', 'burrito', 'chip', 'bean', 'food', 'tortilla', 'margarita', 'good']","['wow im begin think great mexican food az move chicago year ago dozen mexican restaurant star plus review im leave think really nni drop last friday late afternoon <org> cubs game glendale daughter live goodyear thought would give place try base review nothing fancy ambiance small storefront location place order counter sit someone bring order gentleman counter couldnt pleasant patient smile helpful really excited see place full local usually good sign right order steak chicken burrito dinner sit tablennthe chip salsa pretty good awesome salsa provide really tasteful taste little smoky spicy salsa bar pretty good carrot jalapeno good point <person> groove star rangennafter 25 min wait food kindly gentleman bring order caucasian couple table place stop ask order couple obviously familiar mexican food come 15 min look confuse order taco kindly gentleman bring order table hill steak burrito grisly tough overcook salty chicken burrito tough boil bland bean really great rice okay man disappointed ive read review really hype try place also people wait 30 min order im really sure take long deliver food worth wait doesnt matter cant say wasnnafter one year phoenix <org> still best experience ive mexican food would thought im go start visit taco shack <fac> diamond rough somewhere', 'disappointment go <org> see excellent review <org> extremely disappointed service slow even though group wait least 10 minute get menu another 10 get plastic cup water chip bring stale salsa good food arrive order steak burrito dinner small portion refried bean rice cold overall taste quality burrito disappoint burrito also significantly small find authentic mexican restaurant even compare fast food mexican like <org> <org> substantial yes <org> authentic mexican restaurant certainly nothing rave would recommend friend go', 'one thing ive learn live arizona year two mexican restaurant exactly alike thats good thing love adventure especially run across gem like <org> literally place like nnbefore get review tell think make good mexican food love fresh ingredient unique combination interesting flavor friend judge mexican food strictly heat id rather taste everything im eat im try prove tongue make cast iron want take time taste every ingredient every bite course great customer service must make good meal really great experience nnthats like <org> tiny little drive thru restaurant thats really unique think actually design old shipping container think pretty cool small walk window couple stone picnic table back seat typical taco stand see every street corner valley little upscale youll see menu offerings fresh ingredient time ive visit friendly customer service nnwith menu feature taco tapas youd probably expect nicely decorate traditional sit restaurant sidewalk fare sell mostly la carte serve styro container cup like say little different nnso read early review see people throw place youre expect typical taco stand price little high youre expect traditional dining experience might put sit outside eat takeout bag admit wasnt sure expect first visit <org> really best worldsnntacos run 350 even styrofoam package food look taste amaze make taco look appetizing styro container art lot fresh ingredient subtle flavor make bite one savor youre first timer start flight try empanadas light flaky deep friend pocket chicken veggie serve bed lettuce sour cream spicy mayo side may tempt customize order first visit try go everything described subtle flavor combination really go together flight include drink chip choice salsa try verde medium salsa avocado base brushfire medium salsa little kick 750 800nnmost adult want couple taco especially want explore menu ive try pork serve el pastor bbq style pineapple pico cheese add little wildfire inferno salsa want bring heat try one bite without first see whats go inside flour tortilla go chicken taco marinate cilantrolime grill serve pico cheese really great guacamole come slice lime side perfecto taco option include shrimp veggie steak love pork chicken much im hard time get maybe next visit nnif youre light eater get flight chip drink youre like get catch sample option expect spend 10 two taco little tapas chip salsa drink im hop future come option two taco even three taco flight help customer really fun menunnif kid tow menu option range tapas offering croquettas ham cheese croquette kid burrito quesidilla dont forget save room churros choco dip sauce side nnthat say place wont everyone seriously say every mexican place arizona ask three people favorite mexican restaurant youll get three different answer thats one perk living get start try new placesnntraditional taco stand still legion fan carry hot sauce glove box nice traditional mexican place still enjoy customer want make night place trick judging continuous line drive thru visit word seem get around glad see people come support local restaurant']"
4,218,4_store_shop_org_shoe,"['store', 'shop', 'org', 'shoe', 'find', 'clothing', 'buy', 'sale', 'dress', 'mall']","['recently check mom wasnt bad mom love discount dollar store see lot take around daysnnthis store much like <org> <org> like store lot stuff really check childrens section look kid stuff great place decent selection clothes include lot <org> clothing really cheap also ton cute shoe didnt see big name shoe section find cute summer sandal daughter also lot infant toddler accessory like bouncer play gyms potty training chair etc much cheap see go <org> toy section find best deal ton option baby toy action hero type really good price one best deal entire tea party set find tea set well table chair 22 yes table chair kid size could sit play great deal nnmy mom tell buy shirt store werent good quality actually say one shirt fell apart wash beware adult clothingnnon negative neighborhood shopping center seem little shady dont think would want dark alone go around lunch time ok', 'world large <org> store place pack every skecher shoe make always love visit store california one new destination row row shoe cant believe walk pair shoe pair family store cheap regular store buy one get one free special time las vega dont time store come one downside customer service reason instead star notice two store la vega however price product worth visit shop', 'mall changin bulk mall nationwide one different get real son longer place make money store close make room online purchase place feel type issue head onbut still suck recent trend shutter store favor online begannnwhat donshop eat shop look emo kid shop go <org> purchase washer shop eat run <org> get dryer pass gonnthe goodnthis yet another poorly run mall one awesome store <org> may already know love <org> center guy simply cant beat deal go day almost get fine 150 dollar dress shirt 20 buck need curb spending pass beauty shirt haunt dream much mall haunt dream close second <org> <org> attach complex well nice boost love walk look overpriced good wish could buy probably order online cheap <org> inside nice well ton protein bar normal cost help ol wallet one anomaly place still <org> store inside give <org> guy still plug away year later dig store <person> help themnnthe badnwhoever property foresight year old area around <fac> get poor shop inside ridiculous big version <fac> mall locate mesa time bulk store confound like one shirt read pooped today obviously big hit average 15 year old theregod help future pomp circumstance big hulk land serve general purpose walk around nni find say follow whilst drive <fac> oh hot hell go walk around <fac> go <org> walk around bit nothingnothing make call destination basic store chain probably grasp thin air sale hop customer come food court court alrighta court mishmashed food catastrophe past time come time come somewhat hungry say oh let see something well open upon come realization noit hasnt usually leave go local eatery depress consume japanese food food court mesa arizona least <org> relatively good sushi vendor food court nnthe downlownsweet sassy molassey couldnt pay come regular basis come solely <org> need comparison shop price sport item shoe clothes go <org> prefer <org> place would suggest well prefer <org> also high price seem close shop around town well anyway digress place earn one star one uno one star <org> place everything need go <org> <org> etc man guy go dillards clearance center polo dress shirt jean short heaven staaaaay away']"
5,212,5_sandwich_lunch_salad_good,"['sandwich', 'lunch', 'salad', 'good', 'food', 'org', 'chicken', 'soup', 'gyro', 'great']","['<org> delicious location always great service even busy recently order crab wonton korean beef lettuce wrap fantastic always good experience garlic sriacha little jar also great must like spicy nnthey pick bunch flavor coke machine always good wait sometimes around 15 minute lunch dinner rush well worth price around 12 average lunch drink great quality meal price overall great back', 'really great lunch place locate within <fac> sandwich delicious fresh think like much mean much good high scale <org> compare lunch place <org> win great sandwich selection low price quick go lunch place strip', 'nice little <org> place food good quality price reasonable service good id recommend place lunch food surprisedly good really cant wait go back try another dish desert good lunch special dont want order menu id definately recommend place lunch']"
6,197,6_order_wait_minute_service,"['order', 'wait', 'minute', 'service', 'food', 'server', 'table', 'pizza', 'manager', 'time']","['bad service life staff mental <person> complete idiot go happy hour family show place completely empty host ask reservation party big wait 30 minute seat server show twice whole time take order second time drop tab wait another 30 minute pick never go bar pay still wait till server give tab sign charge plate give opposite side table never receive plus pay new order item still wait 20 minute never dont come', 'never write review make upset enough write one arrive quick dinner wait 30 minute order get two small order wing waitress horrible late get order kitchen two group people seat 10 minute get food one wing flavor arrive wrong ask order cancel one manager arrive say order would cancel offer discount tell manager happen say food serve order reach kitchen basically tell waitress slack ask waitress call manager first stop talk coworkers never get manager get manager <person> name actually understanding helpful like <org> experience change', 'birthday go family seat wait 10 minute server tell would right wait another 10 minute bring bread table didnt say word leave didnt bring water drink take order wait 25 minute get leave go <org> factory time month usually good service service highly unlikely ever return many server could see busy one come could clearly see wait long time go across street receive great service <org> expect extremely disappointed experience <org>']"
7,183,7_great_love_food_place,"['great', 'love', 'food', 'place', 'service', 'birthday', 'patio', 'restaurant', 'dinner', 'come']","['family love come restaurant <org> come hour special menu best tempura crab legs cant get anywhere else husband introduce place year ago come ever since everything menu delicious price great always take family friend whenever city come business trip never miss dinner stay strip staff friendly awesome <person> serve ever since husband take still restaurant come great delicious sushi tempura crab leg visit friend <person> love place', 'great food great service love place server <person> awesome always', 'great food drink good service go back <person> come']"
8,178,8_pizza_crust_slice_cheese,"['pizza', 'crust', 'slice', 'cheese', 'pepperoni', 'org', 'order', 'sauce', 'good', 'topping']","['first order store delivery time apps great calamari sauce decide sob pizza cheese top pizza top bottom enough sauce bbq also edge crust pizza rock hard like italian flatbread pizza roll develop pizza crust happen crust burnt hard could eat couple slice also cut square rather <org> ny pizza may order prob sob pizza', 'order pizza pizza look good pick <org> problem pick slice eat cheese topping slide pizza dont know describe cheese didnt stick dough messy pizza ever eat anyway sloppy pizza would okay taste pizza cheese rubbery crust could use kind flavor like butter salt sauce one favorite part pizza bland eat starve future pick another pizza place actually order <org> right afterward still werent satisfied', 'know wasnt go blow away pizza keep expectation low rececntly <person> take <person> <org> <fac> slice pizza kind odd guy want epitomize nyc choose chain albanian choose eat slice fork knife well pizza <fac> make wonder street ny would find pizza none okay pizza nyc pizza similarity end point round pizza okay par <org> <org> obviously good <org> <org> stay business good pizza pizza']"
