Topic,Count,Name,Representation,Representative_Docs
-1,3991,-1_food_org_place_good,"['food', 'org', 'place', 'good', 'go', 'get', 'like', 'order', 'one', 'service']","['locate inside <fac> downtown la vega <org> place id want visit long time never get around finally town meeting suggest coworker agree meet downtown give shot nnthe atmosphere upscale upbeat yet relax dark cherry wood low light open space air privacy also bar eight seat notice always couple open two server bartender back one every four seat badnnwe fortunate enough get without reservation highly recommend make tuesday night crowd id never try walk like weekend unless maybe want dine barnni order prime ribeye add mac cheese absolute five star dish cant say enough outstanding one best steak ive encounter earth thus far mac cheese amaze right bake right perfect combination taste texture salty like many restaurant make nnthe service beyond courteous professional id give six star everyone clearly want happy want come back staff combine pleasant atmosphere make want hang little long usually would nnof course go something little odd happen tonight different guy nearby table order side broccoli two huge broccoli floret come plate shock little hammered start walk around table plate beg people take slice broccoli get politely decline little indignant say whats wrong people dont nobody like broccolinnfinding taker sit back table two tree still plate go alone nndinner show nnthis somewhat upscale place notice patron short wouldnt recommend <org> call good personally wouldnt wear dark environment im afraid leg would glow dark spectacle even even broccoli guy wear dark jean way cool dress shoe longsleeved polo fit fine nnthis must visit youre downtown look right place dine dont wait year like try <org> supreme steakhouse', 'la vega city offer many different choice come eat buffet wonder low quality buffet stay business since live south west part town really want check <org> <fac> read review many speak large variety option <org> offernn lot negative review talk long line disorganization less pleasant service check husband go strictly personal visit nothing write review feature story time enjoy good food didnt write however see turn write projectnn decide go call seafood buffet friday saturday sunday evening since seafood something adore line long take hour get cashier arrive end stanchion next available cashier finish customer walk tell need get back line call comment rude lack form great customer service tone demeanor anything friendly smile definitely part cashier uniformsnn pay 40 per person include drink wine beer wait another line seat take additional 20 minute say take exactly 18 minute server come ask want drink keep simple chose usual iced tea lemon leave table check buffet walk entire buffet line fill initial plate grab beer arrive back table iced tea still arrivednn im go keep part story short since much say bottom line eventually iced tea make table never saw refill entire time decide leave food plate go <org> dinner service horrible husband spend 20 year food beverage industry understand sometimes bad day thing dont go well however something need bring attention managementnn send letter <org> explain experience less desirable hope would take look issue discuss work improve themnn promptly contact back <person> room manager <org> kind professional appear concerned issue hand invite back dinner explain thatnn resort strives deliver excellent customer service memorable guest experience apologize behalf <org> <org> disappointment hardship may cause please accept email invitation two join <org> confident leave kind experience <org> well know name cashier please enter vip line let cashier know name take care restnn <person> correct would leave memorable experience nn go back <org> tonight enjoy kind experience <person> say resort well know arrive vip line state long line reach cashier give name look white ring binder explain name list <person> property ask sure give correct name really would really know namenfor rest review click http sincitynewsorg 2012 10 26 studiobbuffetatthemresortbigonvarietydoesnotmeanbigonquality', 'two trip <org> think three start fair rating first time go large party service terrible still lack personable trait personally server nice friendly doesnt mind chat small thing think make experience little good place busy get use wait table server dont time world chit chat least ask something small like would make difference food first visit good dont recall complaint boyfriend mom one guest really enjoy place rotate tap seasonal beer draft visit would say pretty successful nnthe second visit night ago server attentive order beer take 10 minute bring two bartender behind bar busy however know beer pour much sooner bring time receive head start get warm dont know vanilla caramel porter dark beer start get warm start get nasty end even drink whole thing gross basically unbearable drink order nacho serve understand mexican restaurant didnt expect insanely delicious however end think plain bad chicken nacho dry chip stale spicy could barely choke luckily one friend really like spiciness eat nacho decide get risotto ball still starve delicious one thing <org> perfectly risotto ball nnthe atmosphere restaurant good constantly live entertainment pretty cool lot country music arent fan country like im may want steer clear time live entertainment']"
0,1249,0_store_car_org_shop,"['store', 'car', 'org', 'shop', 'call', 'buy', 'customer', 'need', 'person', 'service']","['bad place go nothing particular staff management horrible go two day big president day sale get oil change get set new tire balance etc next day saw ad tv tire buy one get one free contact store tell could give expensive tire sale price could sale price refer called customer service person main office rudest nasty person ever talk sure doesnt provide service deal never go <org> save friend rip tell avoid company never treat like wont accept goodbye <org> unfortunately always new people rip time theyll probably stay business shame dont deserve one star least could choose', 'bad checkin experience life nreserved cheap car good price use <org> come find line twenty people wait two slowasmolasses employee customer service deplorable nin addition painfully slow attempt whatsoever make explain apologize way acknowledge grow line vocally unhappy customer result people leave line go get car elsewhere cancel reservation free phone due situation nearly point line didnt take long half people leave however still least hour standingnnwhat irritating place besides put slow possible employee register employee present get help 17 computer counter yes count two people work despite original line twenty people nthroughout wait three employee two old white guy one lady come back help two registerbound employee problem one lady ever get help even assist one person leave go pick customer service call back dont know manager ask explanation delay five people didnt show want note give explanation apology would easy enough consider whole situationnnalso please note even reserve <org> service end transaction almost afterthought employee mention three hundred fifty dollar hold card use car deposit never ever deposit fee astronomical even rent apartment thankfully able card id select check card would comfortable situation unprofessional try sneak requirement last minutennluckily car work fine check lot faster initial customer service lack thereof receive completely put use rental service againnalso want note review well people line state particular counter always understaffed seem doubtful five people didnt show excuse even true upon turn car back rental counter long line though short time still one two employee work dont understand possible consistently shortstaffed every person line make reservation pick car specific time datennshort version may cheap worth never', 'go location yesterday 06 16 14 say open till 8pm sign close early 5pm due staff meeting fine understand still take car say look brake issue bring garage say car would need two back new rotor brake well would possibly need replace hub back wheel could diag car would need return tomorrow ask would back would like schedule appointment say around 56pm tomorrow say thats fine nni come back today 515 pm remember start write ticket lady front say one tech work till 7pm would able properly diag drum issue possibly bad arent sure take rotor brake say bad cant fix tonight even though open hour leave 7pm would need order part mind tell yesterday would back say ok never think tell come earlier say basically dont staff qualify tech every job company say close business round conversation agree tech <person> leave 7pm tech diag car issue rear hub understand able get part tonight tech able diag car say one guy name <person> work tonight capable coolnnwhile stand wait front desk lady go ask manger answer multiple question keep ask two customer issue one customer tire patch day business already fail tell cant fix would need buy new tire customer leave repair say car pull hard right wasnt get warm fuzzy feeling place mind manager go go pull car flat tire repair upset customer ask front desk lady reason tire patch could go bad respond lot im sure im new day really dont knownni go street <org> quote incredibly different tell <org> offer different type rotor 92 82 72 <org> didnt even say anything get quote surprisingly rotor cost 52 brake also 60 cheap first time last time customer <org> deer spring <fac> ni rarely ever leave review business go street problem get quote 100 dollar less problem fix rather pay possibly 112700 rear brake rear rotor two new drum something isnt right see another couple customer review state problem place try sale scare think car fall apart careful folk get second opinion always mechanical work thankfully kind got force get second opinion im glad send pack work good']"
1,1109,1_food_order_table_come,"['food', 'order', 'table', 'come', 'get', 'restaurant', 'server', 'ask', 'go', 'good']","['put one line <org> 3star restaurant posing 5star restaurantnnthe issue visit <org> service hostess rather unenthusiastic seem job point correct direction bar wait table get prepare 5star place reservation reservation table darn well ready advertise expect wait table <org> little buzzing flash beeper <org> isnt <org> right state later get food order correct even large issuennfor background part large group 11 people dinner bread serve meal absolutely delicious fresh hot crispy crust tender middle drink salad order get <person> salad say adequate good caesar salad employer cafeteria im salad <org> steak nnthe server move around table take order server cheery try make smalltalk conversation table take order overall steak order couple get one meal split various side order prime ribeye whenever go steak place benchmark meal food arrive nice although would call bit small piece filet mignon front nice cut meat wasnt order also one couple table bring food math serve staff 25 chance bungle order staff retake incorrect miss order minute later manager apologize couple miss order offer shrimp cocktail maybe im odd person table start munch community side watch friend enjoy steak side adequate like caesar salad nothing see although fleming potato good averagennabout 15 minute later steak arrive bit rare medium rare gee would make rare hungry eat anyway steak nice tender tasty way good ribeye ought honest one best ribeyes ever although slightly undercooked much tender one cowboy steak place something flavor fat good ribeye benchmark steak alone notion undercooked nature steak guess management standpoint undercooked well overcooked school nothing go back unless always within eyesight food ive see movie wait nnwe get dessert community style walnut turtle pie seem best liked didnt walnut turtle pie walnut bit bitter tastesnnthe timing delivery food bit slow european dining reservation 630 offer dessert 930 way table evening maybe staff realize go turn table another customer large group tip set need hustle tip slow service fine expect dont get wrong enjoy chat friend table typical american dining service good side water glass fill great regularity water glass 12 oz glass glass never get half full service bar good order glass shiraz salad glass arrive salad 20 minute get glass house shiraznnwith respect food errors manager deduct two meal error bill generous <org> management mistake like crush high end place profit perspective thats 80 <org> management isnt go get stellar review yelpnso give <org> 4star food 3star service 2star valuennas im high end restaurant guy small amount travel company work see high end restaurant expect penultimate experience receive outback level service experience nnultimately question get pay money resounding <org> business appease business type expense report sufficiently snooty enough impress customer corporate sale guy give impression customer company represent care', 'first night <org> decide eat late dinner <org> wasnt expect anything special since 24hour spot manit one bad dining experience ever nothing food overall decent one bad server world dont even know beginnn1 wait little long would expect 10pmn2 sat server arrive least 15 minute couldve stop table say something like gal minute aka tabletouchn3 finally arrive tray water take order intro hi name almost look irritated usn4 place ordera sister ask order dessert later since order prefixeesque course meal server response either get cheesecake chocolate cake uhhhh thats want knowwe read ladyn5 quesadilla salad arrive shortly yet glass chardonnay order arrive server finally come around ask wine could say anything say dont salsa look calmly say thats wantedwe want know wine walk away put drink order apology ill get right away thanks lady weve wait 15 minutesn6 food take eternity arrive 30 minute arrive order wrong tell sister go ahead eat since hungry calmly wait server come around could fix order 15 minute pass sister practically finish meal spot server go let know order wrong walk look corner eye tell mayo sandwich say shed get anothern7 figure order come wrong would make fly get immediately case wait additional 1520 minute club sandwich arrive set front walk away immediately turn around ask ketchup say im use itn8 time wasnt hungry ate sandwich fry figure place dessert order wouldnt wait hour come server come tell want also tell want box leftover n9 another 1520 minute pass see walking back forth sign dessert box sister piss entire meal try stop complain lose go look manager brief explanation din experience manager bring cake box minute apologize give discount unnecessary appreciate incredibly nice accommodate n10 want get grab leftover go pay walk cashier server stop ask thing like oh forget order cake top look like go dinendash ignore entire time say everything fine walked awayn11 leave irritated waste much time shitty way start trip way still tip deserve way hand busser work lot hard wasnnweve eaten establishment hotel receive fantastic service probably visit hotel ever come back <org> specifically ask sit server section', 'must admit excited try restaurant read great review see picture food arrive early hostess suggest sit bar table ready sit lounge area order drink shortly table ready ask hostess tell bartender server show table please bring drink ready show table wait 15 minute bartender bring drink say look since idea go turn hostess never pass message along poor communication restaurant pride great food service move take time waiter finally address nice already decide go get seabass mom go order filet mignon go order waiter inform theyre selection wait steakhouse youre filet mignon 8pm <org> disappointing point order ask bread look delicious picture <org> post bring two order guess theyre run want make sure enough sweet thoughtful gesture youre go run bread go mom husband share 40 oz ultimate steak think good value steak wasnt impressive get salmon didnt even finish half justeh waiter idea felt meal didnt check favorite part meal side mash potato yum macaroni cheese drink creative tasty service okayit take plate clear never check despite fact multiple manager walk around pass table plenty time understand run food wasnt waiter fault didnt even offer complimentary dessert anything seem bit odd nice restaurant excited dine disappointed leave family always let pick restaurant love yelping read review time completely let maybe night unfortunately ill never return go vegas quite oftenactually go day']"
2,707,2_room_hotel_stay_casino,"['room', 'hotel', 'stay', 'casino', 'bed', 'pool', 'desk', 'org', 'night', 'strip']","['boyfriend first time vega without family nnwe celebrate birthday naturally want stay nice hotel nit year since sin city <org> build yet nnit definitely beautiful hotelnas soon walk notice beautiful detail waterfallnnwhen first walk aroma cigarette smoke overwhelm like casino strip clean bright love nnthen notice long check line course expect popular hotel strip line smoothly probably quickly possible nnthe staff courteous friendly get check way elevator group floor nice also someone man elevator check key card great almost seem like itd updated elevator key card security slot like ive see hotelsnnwe stay 20th floor room soo far hotel would think thered one elevator floor isnt literally trek elevator room nnwhen get room light curtain close take minute find switch everything everything control little mini control screen nnwhen finally get everything greet beautiful view strip nnour room small picture picture bathroom nice separate nsoaking tub really nice touch use every night get two robe slipper housekeep prompt bring toothpaste extra pair slipper call nnhousekeeping also excellent keep room neat tidy appreciate tidyd room morning turn service night chocolate allnnthe pool aria wonderful spend hour lounge around wish shady spot available vega sun beam area itd nice umbrellas available nnwe also get two free buffet meal use dinner friday night werent free would definitely pass buffetnnthe big complaint stay check check sunday morning understand line go long would think hotel date room completely control remote able review bill tv screen check ive much low end hotel <org> check room line long although try go quickly tad annoy mean check person go around ipad ask people want express check didnt go line sort fashion never even ask skip annoy even nnother stay pleasant would stay', 'always look forward vegas trip though dont like admit get excite giddy day im picky come hotel accommodation ive stay hotel range <org> <org> <org> almost every hotel never experience terrible service <org> nni book room weekend tell room ready pm friend check oclock room ready biggie though didnt need room immediately 645 pm sister arrive try check room front desk tell house keep clean room take 10 minute room tower first one room available room next wtheck really <org> difficult arrange room tower least anyways 10 minute roll still room available 30 minute later still nothing hour later still nothing 930 pm still room available make matter bad guest wait able grab dinner able get ready night finally arrive 10 pm furious room supposedly still available throw fit almost verge throw front desk man fountain room magically available incidentally next one another make matter bad offer room complimentary night upgrade king bed twin nin conclusion <org> offer bad customer service aware decide stay overbook room prepare accommodate guest capacity nnso aside whole room ordeal dont think stay <org> future room definitely need upgrade selection food place dine minimal wow quite trip parking lot hotel oh yea service hit miss nnthe thing really like looked forward whiling stay <org> pool check', 'new hotel vega service wise think best hotel vega stay various call star hotel stripnnthe hotel lobby classic upscale walk feel like actually vega go back vega casino scene one short elevator ride away <org> complete casinofree oasisnnthe room receive upgraded strip view room size regular room good view strip nice see night time although due renovation hotel good job maintain room doesnt feel outdated room seem spacious yet doesnt feel cramped like hotel say ac system good quiet cold essential vega strong water pressure shower like use high quality <org> toiletry always welcome importantly bedding super comfortable think bed <org> oriental good enough already bed actually give really good sleep havent sleep hotel 31 yearnnthe service top notch tell well train bellman housekeep front desk everyone encounter professional knowledgeable pretentious look technology savvy hotel place want good service comfortable stay definitely place']"
3,370,3_mexican_salsa_taco_burrito,"['mexican', 'salsa', 'taco', 'burrito', 'bean', 'chip', 'food', 'tortilla', 'rice', 'good']","['wow im begin think great mexican food az move chicago year ago dozen mexican restaurant star plus review im leave think really nni drop last friday late afternoon <org> cubs game glendale daughter live goodyear thought would give place try base review nothing fancy ambiance small storefront location place order counter sit someone bring order gentleman counter couldnt pleasant patient smile helpful really excited see place full local usually good sign right order steak chicken burrito dinner sit tablennthe chip salsa pretty good awesome salsa provide really tasteful taste little smoky spicy salsa bar pretty good carrot jalapeno good point <person> groove star rangennafter 25 min wait food kindly gentleman bring order caucasian couple table place stop ask order couple obviously familiar mexican food come 15 min look confuse order taco kindly gentleman bring order table hill steak burrito grisly tough overcook salty chicken burrito tough boil bland bean really great rice okay man disappointed ive read review really hype try place also people wait 30 min order im really sure take long deliver food worth wait doesnt matter cant say wasnnafter one year phoenix <org> still best experience ive mexican food would thought im go start visit taco shack <fac> diamond rough somewhere', 'skinny supposedly healthy mexican fusion little flavour counter service efficient nothing special hell salsa bar value 650 huge tasteless plate white rice bean little protein veg thats little pricey 2nnweve wait forever <org> open boca location however spot large sign <fac> state one <fac> ecstatic hubby bring taste fusion healthy take mexican classicsnnthis particular restaurant outfit serve bar restaurant adverse cigarette smoke stay away booth closest bar area even though wall separate two area smell smoke waft open door bar eating area warnednnordering breeze really pick fill chicken pork shrimp beef fish mushroom tofu veggie decide whether want taco enchilada burrito style dont feel like mexican style also order bowl rice get salad soup standard side quesadillas chip salsa nacho etc combination plat come rice bean instead standard chipsnnwell feel little hungry usual opt standard combination plate 650 two carnitas tacos white rice black bean hub try two different style fish taco try white bean insteadnni would like say combination plat arent healthy even though might low fat cant tell massive plate white rice little vegetable top taco healthy fill yes healthy much may healthy offer salad option instead bean ricennokay enough rant nutrition foodnni say mention carnitas fish taco grill two different style rather lack flavour actually use salt shaker table heres thing never use salt table ask husband pico de gallo serve top taco use rather mealy overripe tomato lead unpleasant texture well dont think really dry cabbage lettuce well tortilla sop wetnnthe bean okay nothing spectacular think white cajun bean seasoning hence taste good black bean rice standard issue nothing excitingnni also disappointed lack salsa bar mexican fusion place gotta least sort salsa lime around nope close thing stack lemon iced tea soda fountain lamennoverall give lackluster flavour soggy texture lack salsa bar feel overwhelming urge repeat experience although relatively inexpensive food isnt good hold value book star review', 'one thing ive learn live arizona year two mexican restaurant exactly alike thats good thing love adventure especially run across gem like <org> literally place like nnbefore get review tell think make good mexican food love fresh ingredient unique combination interesting flavor friend judge mexican food strictly heat id rather taste everything im eat im try prove tongue make cast iron want take time taste every ingredient every bite course great customer service must make good meal really great experience nnthats like <org> tiny little drive thru restaurant thats really unique think actually design old shipping container think pretty cool small walk window couple stone picnic table back seat typical taco stand see every street corner valley little upscale youll see menu offerings fresh ingredient time ive visit friendly customer service nnwith menu feature taco tapas youd probably expect nicely decorate traditional sit restaurant sidewalk fare sell mostly la carte serve styro container cup like say little different nnso read early review see people throw place youre expect typical taco stand price little high youre expect traditional dining experience might put sit outside eat takeout bag admit wasnt sure expect first visit <org> really best worldsnntacos run 350 even styrofoam package food look taste amaze make taco look appetizing styro container art lot fresh ingredient subtle flavor make bite one savor youre first timer start flight try empanadas light flaky deep friend pocket chicken veggie serve bed lettuce sour cream spicy mayo side may tempt customize order first visit try go everything described subtle flavor combination really go together flight include drink chip choice salsa try verde medium salsa avocado base brushfire medium salsa little kick 750 800nnmost adult want couple taco especially want explore menu ive try pork serve el pastor bbq style pineapple pico cheese add little wildfire inferno salsa want bring heat try one bite without first see whats go inside flour tortilla go chicken taco marinate cilantrolime grill serve pico cheese really great guacamole come slice lime side perfecto taco option include shrimp veggie steak love pork chicken much im hard time get maybe next visit nnif youre light eater get flight chip drink youre like get catch sample option expect spend 10 two taco little tapas chip salsa drink im hop future come option two taco even three taco flight help customer really fun menunnif kid tow menu option range tapas offering croquettas ham cheese croquette kid burrito quesidilla dont forget save room churros choco dip sauce side nnthat say place wont everyone seriously say every mexican place arizona ask three people favorite mexican restaurant youll get three different answer thats one perk living get start try new placesnntraditional taco stand still legion fan carry hot sauce glove box nice traditional mexican place still enjoy customer want make night place trick judging continuous line drive thru visit word seem get around glad see people come support local restaurant']"
4,188,4_pizza_crust_slice_cheese,"['pizza', 'crust', 'slice', 'cheese', 'sauce', 'pepperoni', 'org', 'order', 'good', 'place']","['first order store delivery time apps great calamari sauce decide sob pizza cheese top pizza top bottom enough sauce bbq also edge crust pizza rock hard like italian flatbread pizza roll develop pizza crust happen crust burnt hard could eat couple slice also cut square rather <org> ny pizza may order prob sob pizza', 'know wasnt go blow away pizza keep expectation low rececntly <person> take <person> <org> <fac> slice pizza kind odd guy want epitomize nyc choose chain albanian choose eat slice fork knife well pizza <fac> make wonder street ny would find pizza none okay pizza nyc pizza similarity end point round pizza okay par <org> <org> obviously good <org> <org> stay business good pizza pizza', 'order pizza pizza look good pick <org> problem pick slice eat cheese topping slide pizza dont know describe cheese didnt stick dough messy pizza ever eat anyway sloppy pizza would okay taste pizza cheese rubbery crust could use kind flavor like butter salt sauce one favorite part pizza bland eat starve future pick another pizza place actually order <org> right afterward still werent satisfied']"
5,160,5_lunch_chicken_food_salad,"['lunch', 'chicken', 'food', 'salad', 'good', 'org', 'dinner', 'place', 'try', 'gyro']","['really great lunch place locate within <fac> sandwich delicious fresh think like much mean much good high scale <org> compare lunch place <org> win great sandwich selection low price quick go lunch place strip', 'lunch today awesome new place <fac> get greek chicken salad pita broccoli salad side amaze cannot wait go back try something else patio also great spot hang highly recommend place like chicken', 'nice little <org> place food good quality price reasonable service good id recommend place lunch food surprisedly good really cant wait go back try another dish desert good lunch special dont want order menu id definately recommend place lunch']"
6,154,6_sushi_roll_fish_tuna,"['sushi', 'roll', 'fish', 'tuna', 'japanese', 'place', 'sashimi', 'org', 'good', 'order']","['hubby picky sushi many claim sushi spot lack culture look sushi restaurant chain try make sushi hip cool corporateby push culture invent first place atami authentic japanese sushi oh tasty reasonably price spot friendly japanese couple husband handle sushi right behind sushi bar nnlocationnthis spot hole wall location right next <fac> independent business boo let location deter chicken opt <fac> sense adventure miss best food come type locationsnnrestaurantnbefore walk youll see grade proudly post window everyone see grade enough reason set foot door neat clean restaurant tiny sit take sushi bar see food prepped also booth tablesnnfoodnnyou order sushi asian dish menu reasonably price easy find sushi often overpriced one highlight location bento special bento special include choice entree come soup rice california roll piece spring roll 699 tack sushi roll combo additional food fresh serve something traditional white plate location presentation mattersnnthe menu nice highlight location sushi sushi first thing try heart atami support local business <org> place need around legit oh tasty', 'amazing deal <org> sushi go roll favorite sushi skip much recommend sashimi salad felt would fill could sample roll im pretty sure make right choice dont eat much use sushi taste pretty fresh didnt skimp fish like would buffet place sushi roll pretty much would get midrange sushi restaurant la seriously youre quality food youre stuff silly sushi one best thing world eat nnthe good thing order half roll sample really like detail description menu know difference go dont particularly care cooked roll youre little tepid raw fish ok hard remember roll seem wash together pretty well overall quality excellent would go back several ayce sushi place choose vega far place ive go exceed expectation thing place remember salmon caviar sushi ikura worth order like dont think place go chinatown nnalso service really nice quick people constantly come pig indulge im sure waitress exhaust id recommend eating bar order directly chef quicker service', 'go particular sushi place least time month sushi super fresh staff friendly price reasonable usually order sushi roll ever change special offer order udon chicken kid everything order really good sushi roll huge always wind order much favorite thing place sit bar let sushi chef create something ask like create awesome sushi roll never disappoint best part hubby leave stuff 30 try <org>']"
7,153,7_vega_vegan_food_org,"['vega', 'vegan', 'food', 'org', 'la', 'place', 'eat', 'restaurant', 'good', 'go']","['want fantastic dinner vega highly recommend <org> yes pricey others mention hey la vega everything else nnwe start stuffed mushroom nine plump mushroom stuff alaskan king crab cover cheese delicious also caesar salad anchovy describe others best caesar salad ive ever eat main course choose 24 ounce bonein ribeye perfection ive eaten number high end steakhouses <org> <org> etc <org> serve best steak ive ever eaten exactly steak wife scallop know know wasnt feel steak scallop perfectly cook wonderful well split loaded bake potato im picky find something wrong place potato bit overcooked im picky nnwhether ambiance place liking personal decision love find fun typical overthetop la vega waiter prompt attentive recommendation ribeye spot fun wife friend mention offhand celebrate birthday bring two red velvet cupcake candle dessert little cheesy upscale restaurant probably really appreciate gesture nnmy advice go youll enjoy experience', 'one best option <org> vega', 'place describe <org> <org> many occasion get well every time town guest make stop <org> incredible selection vegan dessert nthis definitely place vegan vegetarian meat eater come share fantastic meal really affordable price almost food freshly make onsite staff owner friendly helpful ni recommend sausage pizzeta faux sausage make fresh every couple day season much like actual sausage nonveggie brother could taste difference nthe dessert best vega vegan nonvegan hand rich delicious word street <fac> may start ship delicious bad boys come december dont live vega hope']"
8,121,8_hair_salon_stylist_cut,"['hair', 'salon', 'stylist', 'cut', 'haircut', 'color', 'person', 'style', 'job', 'want']","['ugh place draglast time boy friend go credit card machine break boyfriend run atm pay cashnnmy mom really love place tend take hair cut instead place find homegirl hairdresser remember name say hairdresser though typical asian tiger mom shes cheapo best save whenever shes one type love haggle merchant low price habit pick back east southeast asiannim pretty sure try haggle chick work herennregardless price pretty cheap compare asian salon chinatown remember correctly 35 haircut remember pay 50 rus2our rush hour salonnnive several time know quality service thank mom making hg place feel like im episode korean drama every time come due thisnnthe woman decent job cut hair pretty bad job wavy curly hair know cut straight asian hair treat wavy curly lock straight hair since also puerto rican gene hair stick thickass 2c wavy hairnnand lady know cut wavy hair know absolutely nothing method cut curly hair deva cut instead end dreaded triangle hair look though step 70 80snni also take formal updoif want haircut updo make sure one go get one combo deal get flaky tend change mind lot boyfriend end pay separate lady refuse give discount refund eh guess fault behalfnnanyway love retro look fondness 40 50 pinup rockabilly style also love early 60s look well thank show like <org> <org> mad men print photo <person> infamous breakfast tiffanys look want updo look like thatnni show mama hairdresser picture go wish say hairstyle look outdated old megirl thats point love retro style course old say allow style hair way didnt like absolutely dissatisfied go customer wish without permission ughdidnt even get refund itnnthere also time appointment get hair dye ive gotten hair dye twiceonce want purple highlight hair second time want hair color burgundynnyeah read rightpurple kind see punk rocker hairstylesnni dont know kind dye brand stylist use purple highlight im think manic panic dye didnt really last long 10 shampoo thats expect unnatural hair dye since theyre semipermanentnnhowever expect burgundy hair color wash away handful shampoo fade dull dark brownnnthe hair dye suppose permanentthey tell use semipermanent dye price mom pay get hair color burgundy wasnt worth go wash away like im highly disappointedthose burgundy hair color pack buy <org> good job color hair whatever brand stylist usednnso want hair dye unnatural somewhat unnatural color dont go go elsewhere instead <org> <org> even <org> quality salon pretty much decor look like come 90sim pretty sure interior design place hasnt update decade also seem always lot hair floor staff get lazy sweep strand make place slightly disgust since chance accidentally step glob hair highnnyoull also hard time understand lady accent youre use thick vietnamese accent speak tongue though theyll warm pretty quickly time though stay quiet get pretty awkwardnnugh wouldnt recommend place anyone unless theyre desperate budget go want hair trim anything else nearby chinatown salon well', 'im kind confuse experience <org> wasnt horrible wasnt spectacular either nni go high expectation come salon base great review perhaps <person> <person> hair might turn good experience experience flat asian hair make appointment day even though request <person> guess day schedule another stylist girl cut hair young straight black hair never tell name ton split end due hair cut since september want least inch cut layer side part get straight work cut wash hair snip away furiously scissors felt like rush bit cut really fast blowdried hair straighten something ive never hairstylist hair naturally straight end job hair inch short layer split end eliminate hair look good wow guess disappoint experience didnt connect hairstylist 30 minute fast haircut ive ever give much hair want give place another try maybe another stylist nnthe offputting thing saw stylist dig brush drawer full people hair strand try rip strand proceed brush hair big nono front client', '<org> clean tastefully decorate greet immediately staff friendly professional salon use kerastase hair product staff create cut edge hair style nmy hair drastic need highlight cut stylist <person> first time hair cut <person> spent great deal time talk color style want highlight color hair first experience color hair truly love color highlight put hair ni express <person> want show style hair cut versatile able wear different way <person> take time teach style hair variety way nprior leave book another hair appointment <person> thrill haircut color <person> amazing job hair truly appreciate attention detail time take look forward future cut color <person>']"
