Topic,Count,Name,Representation,Representative_Docs
-1,2700,-1_org_good_place_go,"['org', 'good', 'place', 'go', 'get', 'food', 'like', 'time', 'one', 'order']","['come friend week dinner pretty good overall first arrive notice parking nightmare might want get early meet people look park directly front restaurant spot pretty small hard come bynn first walk kind confuse order register bring food look like would wait sandwich bar wrap salad since glass guess add ambiance whatever look restaurant nice look like something <org> advertisement kind vintage earthy color still modern look make sense nni order avocado chicken wrap get iced tea choose <org> ice tea amaze probably one best ive get food also impressed come side salad pretty good wrap also yummy nni find hard justify pay 16 meal felt like good quality meal great ingredient could probably justify pay 12 honest <org> could get wrap iced tea around 10 kind irked also think really loud restaurant couldnt talk people side table stunk come group maybe outdoor seating well kind warm food good probably wont come back get organic wrap salad many place much cheap', 'sport bar succeed understand clientele must get bevvy different taste walk door deep pocket expect deal give time feel <org> really hit home run understandsso let steal home discuss <org> fud drinknright bat place close <fac> could literally throw baseball hit entry gate give would think price thing nope happy hour right game relieve find good price beer appetizer special munch alone compels return next time go game drink special good selection beer food look tad par general sport bar variety choice general bar fare tad get bite eat next time people sit around enjoy food complaint could hear look menu know sure definitely return try meal next timennatmosphere servicenthe barkeep pretty busy fan bar yet keep smile entire time talkative <org> fan stop fun guy take time order bar ask every second need extra one ask food option next time come knowledgeable item menu point favorite small space however place sure fill quick weekend game isnt overly homely bar long enough wall cover various memorabilia nothing write home isnt issue great servicennextras ratingnonly extra get early especially weekend highly recommend bar bar beat alternative nearby close <fac> get star good price fun upbeat service variety food choice location <fac> lose star lack space ambiance really two factor star location mind solid addition bar scene <org> game', 'go <org> first time past weekend recommend many time say bit disappointed maybe hypennthe food pretty good chop salad macadamia nut crust chicken great also order sushi roll share appetizer good three others party say entree good one rave dessert giant taste goodnnthe really bad part experience definitely flaky waiter say order sushi appetizer even ask want entree say yes wait long time probably 20 minute roll come time entreesnnthen eat entree sit sit sit sit wait dessert menu 20 minute see waiter even table around finally ask busser could find waiter watch busser look around kitchen dining room im sure waiter hide take another five minute find finally show give bill without even bring dessert menunnhe take bill back finally bring dessert menu ask recommend say let honest im gonna tell everything menu good umm oknnso dont really want judge restaurant really bad waiter sure every waiter awful many great place eat town definitely wont go back time soon']"
0,73,0_breakfast_bacon_egg_pancake,"['breakfast', 'bacon', 'egg', 'pancake', 'sandwich', 'scramble', 'toast', 'order', 'come', 'potato']","['short reviewncome hungry <org> hook look huge stack great price <org> place stack huge fluffy tasty pancake fan worry <org> extensive breakfast menu also build burger trust <org> worth nnlong review nive la location impress pancake french toast service dislike la location wait yup im one fool wait hour breakfast la location didnt regret meal wasnt heading back anytime soon due wait theyre la vega inside <fac> wait isnt bad know mean mean monster breakfast <person> fork nnso whats good well thought nnpeanut bubba french toast youre peanut butter lover youll love french toast thats dip peanut butter enough say texture crunchy outside peanut buttery inside love peanut butter taste note la location <org> menu well nnsow oat cinnamon honey roll oat imagine typical bowl oatmeal cinnamon well thats get sow oat stack texture different one popular stack note la location <org> menu wellnnthe golden ticket banana lover dont eat much fruit due allergy willing take risk sample bad boy banana caramel walnut combine create masterpiece nnpure imagination basically buildyourown burger sandwich yes get love pancake crave sandwich burger last visit create chicken sandwich mushroom jack cheese green chili sloppy good huge plus side steak fry nnchicken breast egg white yupi get bore one visit actually supplement chicken breast egg white one meal taste wiseits grill chicken breast egg white nothing special note la location <org> menu well nntortilla chip even mention good addict fresh crispy airy would describe nnoverall isnt one thing ive disappoint also dont let price meal fool low price meal back monster serving one whole order pancake easily serve people two mel cs nni would probably give la location star one star drop due wait location wait wasnt bad theyre local star yeah buddynnntip dont huge appetite order one stack whole order stack equal food coma', 'go place amazing review highly disappointed first order bacon egg egg scramble cheese bacon half cooked guess need ask crispy bacon get fully cook ask scramble egg cheese get chop egg slice cheese top excuse believe ask scramble egg cheese suppose come scramble cheese smh friend order corn beef hash potato thee side potato freeze inside nnwith negative come positive positive say ni order cinnamon bun pancake would say best thing whole ordernni go back <org> review really let time', 'would first like say wake family 8am eat breakfast <person> breakfast buffet let say im happy campernnfirst would like say extremely disappointed pay attention hint extremely horrible breakfast nntip breakfast buffet mediocre chinese restaurantntip fried rice part breakfast menuntip pastry saw unpackage <org> type packagennno didnt take hint clue store nnthe food serve usual breakfast fare eggs bacon sausage french toast accompany type food fry rice bbq pork assort fruit potatoes breakfast subpar unseasoned couldnt eat one plate even ask cheese scramble egg say cant give really reallynnthe price everything serve get daysinn include price room 1295 person price go <org> gogo get quite honestly best breakfast vega price hell go <org> breakfast buffet get good least omelette toast didnt even toast silly think breakfast buffet would serve toast silly mennso im give place one star could would give cant honestly cant believe restaurant audacity serve subpar unedible food outrageous pricenn1 star 5nnps dont serve toast']"
1,69,1_burger_fry_org_food,"['burger', 'fry', 'org', 'food', 'get', 'order', 'taste', 'would', 'think', 'meal']","['think <org> deserve 25 originality since star wont allow due bigtime let poor quality ill round downnnmy dad town 60th birthday want italian food less outrageous price pretty picky italian food consider italian fact come italian food actually good nyphillynj suggest <org> know expect good quality didnt want take chain though want something could get vega homework <org> <org> seem like right choice choice end regrettingnnno horror story read service food quality werent thing good atmospherennupon arrival entry speakeasy theme pretty cool would cooler without sign say credit card currently accept cash still pretty coolninside dark environment mafia decor old italian resaurante style keep look around old vega style lounge singer belt <person> hit voice slightly well compliment voicennfrom go hillnnthere half hour wait even though entire room table wide open use didnt realize wed need reso tues night offseason place hole wall beaten path perhaps still faultnnthe service bad friendly enough sure didnt get water ask even order never get basket bread long time go wave waitress beg bread water bread come starve would toss garbage possibly bad bread ever taste possible bread bad apparently bad terribly stale gobble chewy stale loaf anyway hungry wait nearly rip teeth processnnthe main course eventually come subpar edible yes <org> quality kind way maybe bit bad fettuccine alfredo seem like straight outta tv dinner box added shrimp nice sizennmy dad get ravioli red sauce meatball edible especially since starve generic taste around honestly felt embarrassed bring pop eat thisnnthis true italian place gimmicky eatery make speakeasy theme atmosphere ever real italian food taste food total let', 'sure deal hear great thing place reliable source underwhelmed burger dont get wrong decent burger bacon dare say delicious bacon nthink issue <org> twofoldn1 seriously need put salt patty yeah whoever five guy areseason food like <org> <org> even sign see drive thrus remind cook season patty correctly clearly reminder <org> ive eaten two location two state trend bad onen2 im pick topping guess hows burger order menu honestly first time go place usually ask popular recommended item make sense right go order burger everything like really decision take time make 20 people behind line want like idiot front literally take minute 26 second order burger 20 people behind time cause uncanny douche bag spider sense tingle know would happen nnfries ok next time ill try cajun one need use small fry hotter oil isnt crispy like <org> fry double fry fry crispy exterior wtf thatnalso necessary carbo load many fry one order id rather pay less less fry dig fry get custom order hamburger thats minor complaintnnbut say way well <org> <org> obviously <org> obviously whole host little hamburger joint also serve breakfast also expensive place sure worth nnoh yeahtheir bun definition mediocre seriously rename <org> send fifth guy learn make buy decent bread awful hamburger <org> hand epic hamburger bun', 'visit restaurant year perhaps say least high expectation hear many positive comment nfrom friend bit disappointednnthe staff take little come table take order never bread basket deliver table order sweet potato fry end sweet potato uncooked fry send back kitchen type accident never happen top restaurant never make blunder like thesennmy steak cook indicate meat leave pretty raw steak guest definitely steam green bean nothing add even salt could microwave oven creamed corn soupy much bread crumb add toppingnnthe decor beautiful wont lie wont pay decor rather quality food quality service forget bread basket begin completely destroy din experience evening want beautiful decor walk <org> free nnin order consider top restaurant need deserve star mess basic cannot give star simple mistake high price worth high price food deliver go someplace else im still search steakhouse worth price charge think go <org> may end good food service <org> <org> <org> good service good food drive henderson course favorite steakhouse']"
2,66,2_people_get_person_fac,"['people', 'get', 'person', 'fac', 'like', 'see', 'org', 'one', 'go', 'room']","['first let start positiven1 room <fac> amazingamazing sure ask high floor though 7th floor could hear feel thumping <org> nothing crazy low floor would problemn2 casino go cocktail waitress <org> best efficient never without drinknnproblemsn1 new year eve go bell desk arrange limo take dinner night really werent sure would possible due time make request fact nye however assure wouldnt problem come 530 limo would wait come 530no limo bell staff present clue limo lucky enough think limo pull <org> entrance let guest bell staff kind enough arrange take limo know interesting ride limo driver start drive party still get limo nevertheless get way go minute leave hard rock limo driver inform would need drop <org> instead <fac> emergency try understand agree however approach limo driver get nervous start shut strip pull side street alley make get walk party dress heals freeze cold nightnnwhile understand <org> problem <fac> whole problem start bell person didnt make arrangementsnnwhen complain next day desk clerk look sheer horror face kind helpful direct right people complaint get call head bell desk tell person speak wasnt actually <org> rather limo concierge service understand really employ <org> thus call people point would like point person speak stand behind bell desk <person> type thing dress exactly like bellmanbut apparently know wasnt bellman frankly dress like bellman act like bellman stand bellman stand hotel know condone freaking bellman thus <org> responsible action however manager bellman simply pass buck thankfully manager front desk get back give 50 credit room didnt offer one rest party even though get strand toonn2 arrive <fac> still early term checking fully understand tell would text room ready great awesomeor thought make busy gamble explore several hour later around 2pm decide check status room ready yet assure would get text finally 315 come around checkin start 3pm decide double check room really tire travel sure enough room ready thank god ask room get text 830 pm tell room readyoieethank god didnt wait text come hour checkin suppose startnn3 originally book room put room deposit card make thing little easy assure could move one deposit another card everyone arrive hotel front desk clerk assure deposit make would credit back credit card within week person would charge room deposit great easy enough well get final bill everything seem fine party get bill 550 explanation highit way week come wentno credit finally call tell record request party charge 354 instead 550 argue person finally agree put charge right card credit shall see actually happen still confuse <org> invoice say party would charge 550considering even 133 charge put card pay 484 correct amount roomsnnthe hotel look nice room great major customer service problem', 'ahhh <org> la vega first time probably last let tell whynn1 car park around back hotel front entrance saw give huge increase lv traffic good luck find parking garage get stick strip turn right onto <fac> cut across lane traffic <fac> parking garage cut sharp left back alley drive find accidentally completely chance back entrance <org> park garage extra point get ticket hit taxi drive wrong way one way street course ive <fac> know score grade dnn2 arrive check long car drive greet big ahole <org> hr department could find <person> desk clerk short chubby bald snippy jerk dart reptilian eye make feel super welcome turn bitchy behavior youre lucky might even condescendingly insult member party right face although would say <person> lucky one men party want kick nut wouldnt let however say next two desk clerk deal nice lady <person> however succeed grandly anger member party basically put damper entire day stay initially people want immediately go find another room another hotel wasnt possible thanks solely <person> give check process grade thanks ben probably never returnnn3 room pro bathtub drain well plenty towel supply strong water pressure painful like fire hose comfortable bed make decent sheet etc hardly hear noise adjoin room nice flushing toilet run water stomp yell etc great mirror coverage bathroom big mirror sink fabulous full length wide mirror far end bathroom wall comfortable air condition breezynnroom con room dirty say certainty floor probably wasnt vacuum properly mop least week lot dust hair floor behind tv cabinet desk armchair floor quite grotty fact rug although grey black obviously stain grubby bathroom dire need upgrade bath metal rusty stain trap door sort hardly market lousy free tv selection lampshades big hole themnn4 expensive snack shop pay coors 350 bottle water elsewhere hotel pay coorsnn5 crappy pool trek get least <person> put way heck back hotel nothing brick wall view grade dnn6 elevator keep break occasion actually step elevator without maintenance man sound come elevator shaft enough bring panic attack sudden fright last thing want hear rid elevator loud clang thud strange noise everyone rid freak grade fnnconclusion want hotel right middle strip decent rate get location pay around 70 night per room wasnt expect decadent luxury expect clean room nice bathroom flamingo give old tired vibe denture stale cigarette smoke sort vibe guess live cant live rude ahole customer service <person> really ruin first night vega nasty manner unexpected dude hate job much leave one miss solely next trip vegas spend either <org> <org> paris <fac> grade 10', 'place favorite mine since start go bar definitely dive exceptionally clean also wouldnt say dirty place ever either leave wee hour morning dont feel though may contract terrible disease need bathe purell get home summer time expect little moist inside though fan move air around pretty well cant handle moist wind whip hair skirt well head nice airconditioned scottsdale bar nnthey hit nail head decor doesnt feel halfdone like afterthought depend time arrive friday saturday night may find seat unless steal one away little eyelash batting usually come saturday night awesome dj pm give great opportunity dance music dont get hear often would like note would like say reasonably attractive young lady dance expect approach least one guy think get game great move name several different time turn around find strange guy dance right behind like belong goofy grin face cant fault em try guessnnbe prepare meet interesting people one time old boyfriend meet gentleman name <person> probably parent age instantly decide make twosome threesome like pervert spend even playing pool ex difficulty remember whether stripe solid keep straight repeatedly tell look like character <person> try drink say exs pitcher beer purpose tell <person> scare illustrate place full character addition average joes obligatory barflies definitely see punks hipster metalheads greaser probably people subculture think mention oldtimer come decade sorry leave anyone forgive comfort zone full people pop collar polo shirt end every sentence word bro probably go somewhere else type sometimes show ive notice usually dip hour sonnthe bad part place lady room dirty generally kinda toilet door doesnt lock rely either gal wait let people know use potential drunk recall common sense notion knock enter say havent walk yet cant let detract ratingnnthe drink cheap wellmade watery im really beer person time plenty would drink usually 34 mixed drink leave feel pretty good without spend 20 buck include tip well 3540 buck depend drink every time bartender old lady dont know work every night weekend amaze may look little grumpy dont fool shes really dollnni highly recommend place hope continue frequent year come love <org>']"
3,50,3_sandwich_chicken_gyro_meat,"['sandwich', 'chicken', 'gyro', 'meat', 'order', 'sauce', 'taste', 'bad', 'pork', 'food']","['love wahoo fish taco great want order something new menu since fish taco ive always order call order first time order maui bowl steak rice bean fiancu00e9e order chicken maui bowl order extra teriyaki sauce case need go pick girl register nice guy teenager take order smart ask teriyaki sauce employee <org> know customer hear youre say kitchen lol smh anyway check food get see pic steak dry plain nothing would even pay saw food ask teriyaki know would need rice hard like uncooked hard like itd sit outkinda hard hungry didnt care tho didnt eat much fiancu00e9es say chicken taste good steak ive <org> day vibe different service much good wonder maui bowl wouldve well know im order still love fish taco order day day staff', 'ok miss aunt <person> felt like gyro go <person> gyro outside look like little gyro shop place lot big expect mediterranean feel surenn order chicken shawarma gyro gentleman take order suggest get combo fry drank ice tea get side extra chicken taste meat nni check <org> check give free baklava small peace lot time baklava big restaurant sweet full syrup <person> check place orderfor free desert nnfood really good authentic taste like aunt greek cooking miss nice treat free baklava good enough go back purchase another one 107 well worth consider lot dessert dollar lunch include extra side chicken 13 really full cant wait go back try spanakopita', 'wife visit place grab sandwich think <org> saw place decide give trynnafter order food chicken gyro chicken kabob baba ghanouj go mind drift kitchen nightmare dont know thats think order ready get drive homennthe chicken gyro large slice chicken bad thinner since go order pita bread half soaked juice tomato onion kabob disappointment also strip thick dry chicken think gyro expect chunk chicken difficult eat end eating chickennnnow baba ghanouj disgust mixture slop immerse olive oil one bite could stand best ever sabuddy israeli restaurant close owner return new yorknnas sandwich pita bread excellent next time go']"
4,50,4_rice_noodle_chicken_curry,"['rice', 'noodle', 'chicken', 'curry', 'spicy', 'sauce', 'soup', 'chinese', 'brown', 'spice']","['order 895 dinner special come hot sour soup two vegetable egg roll sauce <org> chicken lo meinnnhot sour soup perfect bit strong soy sauce flavor didnt even put soy sauce egg roll perfectly crunchy fresh general tsaos chicken cook perfectly completely drench spicy orangestyle sauce okay chicken piece top taste perfect one bottom end taste like chinese fry chicken mixed fruity pebble cereal lo mein fine tasted excellent sriracha brand sauce place fiveminute walk distance new <org> formerly <org> holiday inn get chinese food fix restaurant strip mall total meal come 967 tax', 'find tang drive check review <org> figure would give try call order wok person phone pleasant portion nice size like option white brown rice well fry rice order general tsos chicken wife order sweet sour chicken general tsos spicy would like delicious sweet sour good well surprise amount pineapple restaurant give piece also order fried rice say best fried rice greasy like place also order cup egg drop soup full egg surprise compare restaurant go overall pleased food return <org>', 'thai food get <org> always get red curry vegetable girlfriend <person> coconut soup always go spicy side range 15 okay tasty food weve get well sister boyfriend crab rangoon beef satay spicy basil pork vegetable pad thai spicy fry rice beef shrimp though thai iced tea bit sweet side still nice really recommend place especially delivery also notice food well evening 7pm probably different cook']"
5,48,5_bus_parking_fac_car,"['bus', 'parking', 'fac', 'car', 'park', 'org', 'get', 'store', 'work', 'need']","['outsider state find use <org> good way wander around city u00a33 get travel around city get around bus clean new one boston nyc arent though busdrivers mostly friendly helpful walk main street hop bus let bus worknnone problem figure schedule map bus stand hard tp figure fly especially want go specific place would recommend ask people firstnndespite thank bus system take place edinburgh make city much accessible', 'poor experience rid <org> nothing positive thing say company bus stop locate <fac> cover case weather bad nice wait bus late bus friend able catch next one problem show great customer service company bus clean roomy able sit wherever want fun sit double decker bus second floor clear view road nothing front like personal bus stop random location one stop near harrisburg mall parking lot pick drop location felt safe driver always nice professional price inexpensive worth every penny', 'friend go <fac> deluxe tour firstly inform need look grey line bus pick rather airbridge bus bus pick major strip hotel stay somewhere else get self strip take bus depot sort payment upselling encouragement buy spend ridiculous frustrating people like aussie use furthermore detract time tour first stop chocolate factory mm shop like others city tiny corridor take past chocolate machine worth trip cactus garden nice small allow stop factory garden total 15 minute stop clearly design get fork money shop drive <fac> dam mar loud chauvinistic attitude bus driver sexist comment phillipino woman <fac> tour involve fair bit wait minute see dam top part interest would recommend self guide tour dam time appreciate every thing low point trip buffet lunch worldsmostdepressingcasino course long stop whole trip 1hr 45mins clearly want spend money gamble dont tour even though cheap available worth thank']"
6,47,6_pho_soup_chinese_vietnamese,"['pho', 'soup', 'chinese', 'vietnamese', 'dish', 'sauce', 'noodle', 'rice', 'restaurant', 'pork']","['masarap ang lutong ni <person> <person> cooking good nnthe food pretty decent nicely flavor surprise selection expect maybe half choice offerednnfrom recall nmungo mungbean bittermelon pork pretty okay make good since mine meaty savorynpaksiw baboy pork slice sweet soy sauce bf love sweet sticky nice flavor nginesang pusit sauteed squid chilies bellpepper really like right flavorsnpancit thin glass noodle okayn sisig chop pork vinegar chilies onion make lechon kawali lot chilies add vinegar kicknginetaang baboy pork coconut shrimp paste sauce good love coconut milk base dishesnlechon kawali crispy fry roast pork belly good crispy like always big layer fat least pick youre fat lover nlengua estofada beef tongue slice tomato soy sauce tongue really soft like keep thick slice keep juicy inside sauce good scrap lot since like taste lengua flavornafritada manok chicken tomato sauce bellpepper potato carrot didnt trynginisang squash shrimp green bean bittermelon sautee grab green bean okaynginisang ampalaya bittermelon sauteed egg didnt trynseafood ginetaang mixed seafood coconut milk didnt tryndiniguan pork cook blood spice pretty decent standard style diniguan different style restaurant make feel ton betternpalabok thick rice noodle sortve gravy sauce mushy didnt likenpork afritada pork tomato sauce stew peas potato hotdog bellpeppers small bite decentnnilaga baka beef broth soup chunk beef veggie like bokchoy cabbage potato didnt havenkaldereta beef stew pretty decent bit oily make itnkare kare oxtail tripe eggplant green bean thick peanut sauce oxtail find way oily tripe nice itnbeef steak slice beef onion soy sauce okayit straight soylacking signature sauce lemony soy beefy flavor nfried salmon didnt trynfried bangus milkfish pretty good favorite fish fresh npata na paksiw pork leg hock cook soy banana flower didnt try dont really like fatty leg rimsnginetang warm coconut milk dessert sweet yam tapioca full dessertnbanana que banana fry sugar full dessertnfresh fruit bar watermelon oranges pineapple etc look freshnnthe favorite <person> really love paksiw tender nice flavor love lengua best nnthere extra buy hella full grab chicken empanadas crispy pata deep fry pork leg sweet like polvoron powder milk cookie pastillas chewy milk candy cashew tart tamarind candy turon fry banana jackfruit eggroll cook coating sugar wrapper kuchinta steam rice cake pichipichi rice cassava cake roll grated coconut nnbtw cash lucky cash today normally dont roll much buck tip card nnsimply put compare filipino alacarte place nearby well term quality flavor freshness decent traffic doesnt sit forever add kicker eat want item miss like palabok mushy decent good spot flavor cant complain since pick choose want eat skip aok item pig thing love nnyes theres bit fat bit grease nothing cant scoop kinda part cultureflipinos enjoy fat really say greasy cuisine like diner food chinese soul food etc dont eat time though savor decide eat something greasy homey think thats partly mother food best tend buy high end leaner meat cook love flavor get use mom health conscious yet still flavorful filipino shes close ill take something 2nd best moms cookingspecially since dont cook culture food regular home shame know call cook nnwill definitely back', 'go favorite pho soup restaurant close skeptical word fusion decide give try walk greet tired look lady try nice could tell order beef pho soup get far beef pho clear chicken broth look soup lack many traditional flavor authentic pho soup honestly taste like <org> chicken soup beef slice thin like traditional beef pho instead hard rubbery piece beef much gristle inside unable eat major turn also order pork egg roll guess itit rubbery pork piece inside mushy cabbage finally put fork kindly pay bill walk couldnt help notice sushi station also sell thai food chinese food vietnamese food sushi way many item one restaurant problem place like offer different item tend average instead concentrate one type food good case place taste horrible stay away', 'husband move south phoenix bay area use asian food three four time week average month wed get thai takeout five six time chinese deliver enjoy vietnamese casual lunch fill dim sum weekend morning splurge ton sushi grill fish meat japanese restaurant nnneedless say since move south phoenix havent asian food nearly much frequency although find great asian restaurant outside area option within 1015 minute range limit <org> good standard togo chinese joint <org> chinese restaurant bill fine dining low taste quality nnenter <org> open past week new center southeast corner <fac> <fac> weve eagerly anticipate opening afraid get excite could easily turn bad <org> base generic name also fear might sort buffet dont already enough area well try restaurant last night totally blow away nnthe place definitely kink work timing food service bit get chinese entree sushi communication bus boy server little menu little confusing decor thoughtful attractive especially love crystal light fixture patterned wash basin bathroom employee friendly importantly food freak incredible nnfor main dish order mongolian beef chinese menu even though much interesting dish one stand crispy beef plum sauce like start something simple determine whether ingredient use fresh well <org> pass test count beef literally best quality beef ive ever chinese dish tender superflavorful leave wonder use filet vegetable also bright fresh best brown sauce spicy rare chinese place brown sauce spicy default love kick appreciate didnt dumb dish americanized palatte nnas entree werent good enough three sushi order las vega roll philadelphia roll yama roll make fresh highquality fish wellrolled lot place dont bother actually roll roll well artfully present especially love unexpected touch dish swirl eel sauce dot mango puree thinly slice scallion youre sweeter fancier roll may want avoid roll stick basic menu large nigiri sashimi section well simple traditional roll really enjoy inventive roll freshness ingredient roll order imagine simpler fishfocused sushi item would also really enjoyable nnwe glad place open area go one spot get highquality chinese sushi combination may prove useful group couple vary taste accord server liquor license come soon since love cocktail much love good chinese sushi thats great news meantime though well definitely back often possible <org> isnt good area plain good']"
7,41,7_place_menu_go_org,"['place', 'menu', 'go', 'org', 'like', 'want', 'pizza', 'restaurant', 'food', 'get']","['locate inside <fac> downtown la vega <org> place id want visit long time never get around finally town meeting suggest coworker agree meet downtown give shot nnthe atmosphere upscale upbeat yet relax dark cherry wood low light open space air privacy also bar eight seat notice always couple open two server bartender back one every four seat badnnwe fortunate enough get without reservation highly recommend make tuesday night crowd id never try walk like weekend unless maybe want dine barnni order prime ribeye add mac cheese absolute five star dish cant say enough outstanding one best steak ive encounter earth thus far mac cheese amaze right bake right perfect combination taste texture salty like many restaurant make nnthe service beyond courteous professional id give six star everyone clearly want happy want come back staff combine pleasant atmosphere make want hang little long usually would nnof course go something little odd happen tonight different guy nearby table order side broccoli two huge broccoli floret come plate shock little hammered start walk around table plate beg people take slice broccoli get politely decline little indignant say whats wrong people dont nobody like broccolinnfinding taker sit back table two tree still plate go alone nndinner show nnthis somewhat upscale place notice patron short wouldnt recommend <org> call good personally wouldnt wear dark environment im afraid leg would glow dark spectacle even even broccoli guy wear dark jean way cool dress shoe longsleeved polo fit fine nnthis must visit youre downtown look right place dine dont wait year like try <org> supreme steakhouse', 'la vega city offer many different choice come eat buffet wonder low quality buffet stay business since live south west part town really want check <org> <fac> read review many speak large variety option <org> offernn lot negative review talk long line disorganization less pleasant service check husband go strictly personal visit nothing write review feature story time enjoy good food didnt write however see turn write projectnn decide go call seafood buffet friday saturday sunday evening since seafood something adore line long take hour get cashier arrive end stanchion next available cashier finish customer walk tell need get back line call comment rude lack form great customer service tone demeanor anything friendly smile definitely part cashier uniformsnn pay 40 per person include drink wine beer wait another line seat take additional 20 minute say take exactly 18 minute server come ask want drink keep simple chose usual iced tea lemon leave table check buffet walk entire buffet line fill initial plate grab beer arrive back table iced tea still arrivednn im go keep part story short since much say bottom line eventually iced tea make table never saw refill entire time decide leave food plate go <org> dinner service horrible husband spend 20 year food beverage industry understand sometimes bad day thing dont go well however something need bring attention managementnn send letter <org> explain experience less desirable hope would take look issue discuss work improve themnn promptly contact back <person> room manager <org> kind professional appear concerned issue hand invite back dinner explain thatnn resort strives deliver excellent customer service memorable guest experience apologize behalf <org> <org> disappointment hardship may cause please accept email invitation two join <org> confident leave kind experience <org> well know name cashier please enter vip line let cashier know name take care restnn <person> correct would leave memorable experience nn go back <org> tonight enjoy kind experience <person> say resort well know arrive vip line state long line reach cashier give name look white ring binder explain name list <person> property ask sure give correct name really would really know namenfor rest review click http sincitynewsorg 2012 10 26 studiobbuffetatthemresortbigonvarietydoesnotmeanbigonquality', 'downtown mesa isnt normally know high quality food destination restaurant <org> look buck trend doesnt look like much outside resides old building resemble diner build circa 1965 inside however whole different story nnthe restaurant large area middle mainly open provide room live music upper part central area wine relate quote wall nice touch add airiness layout either side central area seat table cozy even small loveseatlike bench pull one side nice touch date able sit next side side view band well set also conducive share foodnnthere bar back corner restaurant seem popular spot patron restaurant outside bar area pretty empty friday night live music nice touch get little loud id recommend sit away center restaurant want chance carry conversationnnthe wine list nice size good quality overall price kind map 15 30x retail pleasantly surprise see consilience syrah menu 11 glass order absolutely lovely rich fruit smooth linger finishnnthe food basically hodgepodge italian meet greek meet spanish combine little bit whatever chef feel like today menu break starter apps salad entree fish meat pasta dish know im fan share food mean get try menu heres rundown orderednn classico bruschetta pretty much youd expect ingredientwise tomato garlic basil parmesan toasted bread however probably best bruschetta ive ever eaten ive share trust bread toast perfect olive oil slightly crunchy outside yet soft middle tomato juicy flavorful fight one warning give lack garlic thisn caesar salad perfect size share come yummy dice tomato top like caesar dressing nice enough pureed anchovy garlic give little kick without kill crouton good greatn pasta pomodoro angel hair pasta fresh tomato sense meal theme yet garlic basil olive oil tomato rock world server split dish always appreciate pasta good actually tad bland rarely add salt food cooked dish need dose pepper flake individual apple pie server may try get date good grace dessert appear without order werent complain though good basically large ramekin line puff pasty fill apple pie goodness bake top vanilla bean ice cream little caramel pastry awesome ice cream apple good bit much prior course put nice dent thonnfinal take nnthe service really top notch attentive food solid wine selection good beer choice nice whether downtown mesa ready <org> offer another story think thats big issue face <org> right street hopefully concert theater goer stumble upon restaurant think would help <org> competition thought single high quality restaurant surround low budget eateries harder draw crowd however high quality restaurant area well something attract people one place busy go next one check <org> deserves succeed hope <org> encourage similar caliber restaurant set shopnnoverall grade goodnnthe east valley foodie']"
8,41,8_server_service_person_food,"['server', 'service', 'person', 'food', 'great', 'best', 'good', 'ive', 'experience', 'excellent']","['first visit <fac> today love stuffed portabella amaze follow house special pizza quickly disappear cant wait go back try delicious sound menu quite impressive selection beer well customer service great server <person> one best server anywhere long time even make sure dog sit side patio gate fresh cold water drink beyond thank <person>', 'food excellent service always awesome ask server <person> take good care', 'great food drink good service go back <person> come']"
