idx,tokens,text,sentiment,confidence
22570,"['wow', 'horrible', 'review', '<org>', 'much', 'happy', 'high', 'pressure', 'sale', 'tactic', 'membership', 'trainer', '<org>', 'like', 'layout', 'top', 'notch', 'towel', 'service', 'gym', 'equipment', 'service', 'like', 'complaint']","Wow, I don't see what all the horrible reviews are about. I switched here from LA Fitness and am so much happier. I never received the high pressure sales tactics for memberships or trainers that I did at LA Fitness. I like the layout and it's not overcrowded. Seriously, you get what you pay for. I don't expect a top notch towel service gym for this rate..but....I get the equipment I need, the service I like and have no complaints.",1.0,0.9952314496040344
72216,"['hi', 'nni', 'member', '24', 'hour', 'fitness', 'year', 'since', '28', 'primary', 'location', '<org>', '24', 'hour', 'fitness', '<gpe>', 'like', 'many', 'location', 'throughout', '<gpe>', '<fac>', 'gym', 'clean', 'clean', 'inside', 'previous', 'reviewer', 'cleanliness', 'since', 'recent', 'interior', 'remodel', 'basketball', 'court', 'floor', 'nnthe', 'amenity', 'facility', 'website', 'reviewer', 'nnthere', 'basketball', 'league', 'court', 'space', 'couple', 'day', 'week', 'various', 'facility', 'member', 'league', 'able', 'plenty', 'pickup', 'game', 'open', 'court', 'time', 'basketball', 'league', 'much', 'point', 'difficult', 'open', 'court', 'innnthe', 'staff', 'courteous', 'friendly', 'hello', 'time', 'visit', 'towel', 'goodbye', 'courtesy', 'everyone', 'various', 'occasion', 'facility', 'time', 'time', 'nna', 'couple', 'year', 'ago', 'allergic', 'reaction', 'trail', 'mix', 'type', 'reaction', 'anaphylactic', 'shock', 'couple', 'staff', 'member', 'eye', 'near', 'front', 'desk', 'ambulance', 'hospital', 'severe', 'rash', 'blood', 'pressure', 'low', 'one', 'coud', 'thank', '24', 'hour', 'fitness', 'staff', 'nnthe', 'music', 'facility', 'standard', 'gym', 'musicit', 'selfindulgent', 'like', 'bless']","Hi! \n\nI have been a member of 24 hour fitness for over 6 years now (since I was 28.)  My primary location is the Agassi 24 hour fitness in Summerlin. I like that there are many locations throughout Las Vegas to work out in, including at McCarran Airport.  I have seen this gym be clean and not so clean inside. However, I do agree with previous reviewers that the cleanliness has improved since the recent interior remodel.  The basketball court floor was recently refinished. \n\nThe amenities of this facility can be found on their website and other reviewers have mentioned some of these also. \n\nThere are now basketball leagues that use the court space a couple of days a week at the various facilities. I am not a member of the leagues, but I have still been able to find plenty of pick-up games and open court time. Hopefully the basketball leagues do not expand too much to the point where it is difficult to find an open court to play in.\n\nThe staff is definitely very courteous and friendly. They say hello each time I visit and offer me a towel.  Some even ask me how I am doing. They almost always say goodbye to me when I leave. They show this courtesy to everyone, as far as I have seen. They also dress up for various occasions and decorate the facility from time to time. \n\nA couple of years ago I had an allergic reaction to sulphites--found in a trail mix I had eaten before working out. I had never had this type of reaction before. I nearly went into anaphylactic shock. A couple of staff members kept an eye on me when I sat down near the front desk and then helped me to call an ambulance. I was taken to the hospital as I broke out into a severe rash and my blood pressure dropped dangerously low. Had no one been there to assist me, I coud have died. Thank you 24 hour fitness staff! \n\nThe music at this facility is probably standard gym music--it can be somewhat self-indulgent. I like to listen to my own tunes.\n\nThanks for reading.\n\nGod bless you.",1.0,0.9835562705993652
91336,"['review', 'one', 'manager', 'location', 'center', 'attention', 'would', 'electric', 'guitar', 'cool', 'crappy', '5second', 'guitar', 'riff', 'im', 'weight', 'cardio', 'sweaty', 'like', 'sort', 'guitar', 'hero', 'unimpressed', 'rest', 'gym', 'complaint', 'pretty', 'standard', 'clean', '<person>', 'detail']","This review is dedicated to Dominique (one of the managers at this location) because he seems to love being the center of attention!  Why else would you bring your ELECTRIC GUITAR to the gym???\n\nDom, maybe you think it's cool to serenade us with your crappy, 5-second guitar riffs... but it's not, knock it off.  I'm here to lift weights, do cardio and get sweaty... not listen to you show off like some sort of \""guitar hero\"".  If you can't tell yet, I'm unimpressed and listening to you makes me angry!\n\nAs for the rest of the gym, I got no complaints.  It's pretty standard and kept clean.  Dan H. covered the details pretty well.  :)",0.0,0.8783923983573914
95931,"['member', '<org>', 'two', 'year', 'must', 'bad', 'fitness', 'facility', 'im', 'location', '<gpe>', 'location', 'amazing', 'clean', 'service', 'location', 'hand', 'dirty', 'unprofessional', 'nnthe', 'parking', 'lot', 'multiple', 'shopping', 'cart', 'minor', 'damage', 'car', 'facility', 'front', 'desk', 'personnel', 'something', 'location', 'six', 'month', 'would', 'able', 'good', 'luck', 'dumbbell', 'throughout', 'entire', 'facility', 'appropriate', 'rack', 'one', 'machine', 'sweat', 'weight', 'place', 'people', 'around', 'shirt', 'attempt', 'wellnnthe', 'bad', 'part', 'facility', 'locker', 'room', 'horrible', 'mirror', 'bathroom', 'water', 'place', 'steam', 'room', 'door', 'three', 'month', 'area', 'shower', 'filthy', 'drinking', 'strong', 'scented', 'chemical', 'water', 'warm', 'gross', 'bottled', 'waternni', 'location', 'wonderful', 'group', 'fitness', 'instructor', 'truly', 'professional', 'field', 'zumba', 'class', 'aware', 'class', 'likely', 'feel', 'uncomfortable', 'group', 'fitness', 'class', 'back', 'workout', 'facility', 'men', 'window', 'kiss', 'someone', 'phone', 'tape', 'woman', 'multiple', 'people', 'abdominal', 'crunch', 'machine', 'class', 'session', 'watch', 'old', 'black', 'gentleman', 'cornrows', 'wife', 'beater', 'huge', 'headphone', 'bad', 'offender', 'manager', 'care', 'issue', 'two', 'week', 'nothing', 'location']","I have been a member with LA Fitness for over two years, but I must say, \""this is the worst fitness facility I have ever been too.\"" I'm not talking about other locations because I usually visit the Scottsdale location, which offers amazing clean service. This location on the other hand is dirty, unfriendly, and unprofessional. \n\nThe parking lot always has multiple shopping carts that have caused minor damage to parked cars. Once you enter the facility, front desk personnel are usually occupied with something else, so your not even properly acknowledged. This location was remodeled six months ago, but now you would never be able to tell. Good luck locating dumbbells because they are staggered throughout the entire facility and never placed back on the appropriate rack. No one cleans after themselves, so once their done with a machine its covered in sweat with their weights still in place. There will be people who walk around with their shirts missing and some attempt to exercise like that as well.\n\nThe worst part of the facility is the locker room, which smells horrible, the mirror is never wiped, and the bathroom seems to have water all over the place. I The steam rooms door has been cracked for over three months now. Once you enter this area you feel that you need a shower because its so filthy. The drinking fountained are whipped with some strong scented chemical that is over powering to drink from. The water is usually warm and gross because they want you to purchase bottled water.\n\nI am amazed that this location has wonderful group fitness instructors that are truly professionals in their field. I strongly recommend the Zumba class, but be aware if you attend these classes you will more than likely feel uncomfortable and harassed. The group fitness class is positioned, so your back is facing out to the workout facility. As, you attempt to exercise there will be men standing at the window smiling, blowing kisses to you, or I have even seen someone use their phone to video tape these women. Everyday there is multiple people sitting at the abdominal crunch machines drooling as the class is in session. (Watch out for the older black gentleman with cornrows who always wears a wife beater and huge headphones because he is the worst offender.) Once I brought this up to a manager he ensured me that he will take care of this issue, but its now been two weeks and nothing has changed. \n\nDO NOT COME TO THIS LOCATION!",0.0,0.997093915939331
107770,"['pro', 'gym', 'area', 'weekday', 'cleaning', 'staff', 'early', 'morning', 'hour', 'good', 'spin', 'nnfor', 'examplen', 'two', 'four', '<product>', 'week', 'two', 'week', 'many', 'member', 'weekly', 'last', 'friday', 'front', 'desk', 'folk', 'theyd', 'repairman', 'yesterday', 'fine', 'nope', 'week', 'today', 'member', 'weight', 'equipment', 'early', 'hour', 'staff', 'nothing', 'personal', 'trainer', 'conscientious', 'thing', 'client', 'sale', 'staff', 'culture', 'facility', 'none', 'year', 'ago', 'friend', 'town', 'gym', 'spoke', '<org>', 'sale', 'membership', 'promotion', 'benefit', 'referral', 'new', 'short', 'nmy', 'friend', 'next', 'day', 'could', 'gym', 'day', 'would', '<money>', 'oneday', 'pas', 'im', 'member', 'club', 'guest', 'pass', 'like', 'candy', 'little', 'yellow', 'guest', 'pass', 'front', 'desk', 'day', 'nmy', 'friend', 'standard', 'membership', 'nonetheless', 'initiation', 'fee', 'next', 'day', 'poster', 'club', 'membership', 'event', 'initiation', 'fee', 'friend', 'new', 'member', 'welcome', 'bathroom', 'difficult', 'soap', 'dispenser', 'soap', '<org>', 'bad', 'theyre', 'weekend', 'morning', 'shape', 'night', 'beforennit', 'problem', 'isnt', 'club', 'others', 'issue', '<org>', 'location', 'corporate', 'culture', 'company', 'itselfnnand', 'despite', 'little', 'gym', 'ill', 'membership', 'month']","Pros: \nrelatively clean in the gym area on weekdays (kudos to the cleaning staff), the early morning hours are not crowded at all, and there are some very good spin instructors...\n\nCons: \nEverything else. \n\nFor example...\n- two of the four Stairmasters have been broken for more than 6 weeks, another has been down for two weeks (many members, including me, have reported this weekly).  Last Friday I asked the front desk folks if they'd been fixed yet and was told that the repairman was there yesterday and they should be fine.  Nope... Still broken.  \nA week later (today), still broken.\n\n- members commonly fail to re-rack their weights and equipment, even in the early hours, and the staff does NOTHING about it (it should be noted that the personal trainers seem very conscientious about putting things back when they and their clients have finished).\n\n- the sales staff, or rather, the over-abundantly sale-oriented culture of the facility.  \nOne year ago, my friend moved to town and was looking for a gym to join; I spoke with M--e (sales) and asked if there were any membership promotions going on, coming up, or if there was any benefit in making a referral for a new member.\nIn short, I was told no, no, and no.  \nMy friend came in the next day, asked if she could try out the gym for a day, but was told it would cost $15 for a one-day pass (I'm not exaggerating... members already know that the club hands out guest passes like candy and there are little yellow guest passes stacked all over the front desk every day).  \nMy friend got a standard membership nonetheless and had to pay an initiation fee.  The very next day, posters were up all over the club about the Thanksgiving membership event -- NO INITIATION FEE!   \n(Message to my friend and new member: Welcome to LA Fitness, now F***-off).\n\n- bathrooms.  It seems to be quite difficult to keep the soap dispensers filled with soap at LA-F.  Worse, they're not cleaned before opening on weekend mornings... they're in the same shape they were in when closing the night before.\n\nIt seems that the problem isn't simply this club (others speak of the same issues at other LA-F locations), it's the corporate culture of the company itself.\n\nAnd so, despite having to drive a little further to get to a locally owned gym, I'll allow my membership to LA-F end this month.",0.0,0.9988548755645752
239181,"['gym', 'dirty', 'owner', 'pay', 'attention', 'customer', 'manager', 'age', 'instructor', 'robot', 'rid', 'best', 'go', 'lake', 'mead', '<gpe>', 'thats', 'one', 'best', 'badness', 'top', '<person>', 'dont', 'deal', '<person>', 'rude', 'little', 'bit']",This gym is dirty. The owners don't pay attention to how they treat customers.  The managers are allowed to mention your age.  The instructors are robots.  They get rid of the best.  Go to Gold's at Lake Mead and Buffalo.  That's where one of the best went.  The badness starts at the top with Todd Smith and it tickles down.  Not to mention don't deal with A J Palluck.  He is rude and condescending. This is just a little bit.,0.0,0.9992169141769408
249947,"['interview', '<org>', '<gpe>', 'two', 'week', 'moment', 'would', 'shape', 'head', 'sale', 'rep', 'health', 'im', 'shape', 'one', 'gorillas', 'sale', 'people', 'like', 'mind', 'im', 'like', 'healthy', 'look', 'like', 'roids', 'brotha', 'natural', '24hrs', 'door', 'job', 'way', 'hand', 'client', 'person', 'cool', 'level', 'man', 'mistaken', 'nnext', 'bag', 'membership', 'im', 'like', 'hell', 'would', 'membership', 'place', 'people', 'shape', 'thats', 'people', 'gym', 'thanks', '<org>', 'nafter', 'review', 'wise', 'chance']","I went for a interview La Fitness in Paradise Valley about two weeks ago, never thought for a moment that I would be discriminated for being out of shape The Head Sales Rep. said\"" How can you sell health if I'm not in shape, . He then compared myself to one of his Gorilla's sales people -saying this is what you should look like. In my mind, \""I'm Like I want to be healthy, not look like I shoot up. No roids, my brotha. Natural. I do exec-rise. at 24hrs B!!!! \nI should have known as soon as I walked into the door that I didn't get the job by the way he look at me and he also didn't shake my hand. \nMy client described this person as a cool and level headed man, he was very mistaken. \nNext this Douche bag, tried to sell me a membership, I'm like really dude \""Why the hell would I want a membership from a place that discriminates against people that ain't in shape. That's why people join the gym to be healthy-both inside and out, I told him no thanks I will stay at 24hr Fitness. \nAfter reading some of these reviews I made a wise chance.",0.0,0.9870108366012572
249961,"['member', 'gym', 'ten', 'year', 'dirt', 'trashcans', 'filthy', 'bathroom', 'old', 'broken', 'equipment', 'staff', 'weekend', 'management', 'staff', 'care', 'one', 'bit', 'member', 'gym', 'happy', 'glad', '<org>', 'apprehensive', 'membership', 'many', 'horror', 'story', 'without', 'hitch', 'membership', 'last', 'month']","After being a member of this gym for over ten years I just got fed up with the dirt, overflowing trashcans, filthy bathrooms, old, broken equipment, opening staff that show up late on weekends and a management staff that really doesn't care one bit about the members so I joined another gym.  Thus far I am very happy and glad to be done with LA Fitness.  I was very apprehensive about cancelling my membership after reading so many horror stories, but it went without a hitch.  The membership was cancelled immediately and they honored the last month that I had paid for when I signed up.",0.0,0.9557834267616272
488856,"['gym', 'two', 'friend', 'front', 'desk', 'day', 'pas', 'gym', 'membership', 'membership', 'counter', 'question', 'old', 'blonde', 'lady', 'friendly', 'might', 'like', 'mountainside', 'ridiculous', 'monthly', 'fee', '<money>', 'month', 'oh', 'free', 'pas', '<org>', 'license', 'plenty', 'proof', '<gpe>', 'citizen', 'rude', 'whole', 'experience', '19', 'year', 'old', 'girl', 'rich', 'middle', 'woman', 'doesnt', 'mean', 'disrespectful', 'treat', 'like', 'potential', 'customer']","I went to this gym with two of my friends and we were  greeted nicely at the front desk. We showed up with a 5 day pass to see if we liked the gym and possibly to get a membership. We are taken to the membership counter and immediately bombarded with questions from this older blonde lady, who doesn't even greet us or act friendly might I add. She treats us like were being interviewed, asking us why Mountainside? Then shows us the ridiculous monthly fee of 41 dollars a month.  Oh and then doesn't take my free pass because I have a VA license yet plenty of other proof that I'm an AZ citizen. She was completely rude and ruined the whole experience for us. Just because you see 3 19 year old girls instead of some rich middle aged woman doesn't mean you should be disrespectful and treat us like were not a potential customer..",0.0,0.9992623925209044
573601,"['look', 'gym', 'nice', 'member', 'year', 'issue', 'everyone', '15', 'year', 'issue', 'consistency', 'amenity', 'towel', 'locker', 'room', 'gel', 'lotion', 'qtips', 'next', 'monthsnnthe', 'locker', 'room', 'cleanliness', 'sporadic', 'locker', 'except', 'one', 'row', 'everyone', 'tight', 'spacennthe', 'equipment', 'cinema', 'room', 'nice', 'maintenance', 'nnthe', 'training', 'bad', 'everything', 'trainer', '15', 'year', 'time', 'manager', 'new', 'person', 'good', 'one', 'question', 'management', 'decision', 'quality', 'trainer', 'would', 'small', 'amount', 'session', 'timennoverall', 'annoying', 'thing', 'gym', 'horrible', 'someone', 'gym']","The look of the gym is very nice, but after being a member of over a year, you start to see some issues and concerns.\n\n-When I joined, they were telling everyone that an ice-room was being installed; however, it has been 1.5 years and still nothing\n\n-There are issues with the consistency of amenities. They are out of towels, or in the locker rooms they will have shave gel, lotion, Q-tips, but then will be out for the next few months\n\n-The locker room cleanliness is sporadic and very cramped.  They rent all of the lockers except one row, so everyone is in a very tight space.\n\n-The equipment and cinema room is nice, but some of the maintenance is lacking \n\n-The training is probably the worst of everything.  I have had 6 trainers in 1.5 years, because they are always fired or leave.  Each time, the manager says that this new person is 100% better than the one that left, which really makes me questions the management's decision in quality of trainers.  I would NOT recommend, or if you do,only buy a small amount of sessions at a time.\n\n-Overall, there are some very annoying things about the gym, but it is not horrible, just not what someone should expect from a gym calling themselves \""Elite.\""",0.0,0.997343361377716
