,label,text,sentiment,confidence
412564,1,"This was the first place in Vegas where the Yelpers let me down. The salt and pepper shrimp appetizer was inedible: all of the shell was left on underneath the crispy fried coating. As a result, the sauce used to marinate the shrimp never penetrated the meat, it coagulated in the head, and EXPLODED on you upon taking a bite. GROSS! The potstickers and the beef chow fun lacked any flavor whatsoever. The only redeeming quality (the service is pretty awful) is the roast duck: crispy and tasty skin with relatively moist meat and a relative bargain compared to places in NY and L.A.",0.0,0.9985036849975586
171013,0,"We stayed in one of the rooms in the actual Luxor Pyramid.  From a structural standpoint, the elevators in the pyramid are an unpleasant ride.  Every time we went into the elevators, we heard complaints from every guest, us included.  Not only is it uneasy riding \""sideways\"" to your room, the elevators make you more uneasy because of the squeaking and the lack of smoothness of the ride. In our room, everything looked very worn.  On our dresser wardrobe, the paint was faded and one of the handles was missing.  In the bathroom, some of tile had also fallen off.  Overall lighting was poor in both the bathroom and the main room, even when the drapes were drawn back.  My biggest complaint was a huge 4ft by 4ft wet spot between the foot of one of our beds and the door that neighbors the next room.  We had called a few times and let housekeeping know about this incident but the entire weekend we were there, and nobody came up to fix the problem.  We ended up putting a chair to create a bridge over the wet spot since no one came up to fix it, nor did we know what liquid it was.  These were only the major complaints about the hotel.  My overall experience here was very negative and I do not plan on visiting the Luxor again.",0.0,0.9997307658195496
303456,0,"I've been to Carnevino twice and have been very disappointed both times.  I'm a big fan of Mario Batali and had high expectations.  I've been to Osteria Mozza in LA and absolutely loved it. But my two dinners at Carnevino have been hugely disappointing.\n\nFood-wise, the steaks at Carnevino are just okay.  Both times I've been there, I've ordered steak prepared the way the chef prefers - usually rare or medium rare.  Both times I've found the steak to be too tough, too chewy or too fatty.  The taste is good but I've had steaks at some of the best steakhouses in the world and this place is 3rd tier -- not second tier, 3rd tier.  Mortons and The Palm, even the Old Homestead are better.  Don't go here for steak.  \n\nAnd I hate to say it, but don't go here for the pasta either.  I've been disappointed both times with the pasta which is just ho-hum.  Compared to our nearly orgasmic experience at Osteria Mozza, this wasn't even in the same ballpark.  I hate to admit it but we had a much better meal at Rao's the night before (even though their meatballs are too dense).\n\nWe went to Carnevino to celebrate my bachelor party -- there were 10 of us -- and I can honestly say that the poor and insulting service ruined our dinner.  Thanks being huge a-holes Carnevino!  Let me explain.\n\nThe sommelier  (Kirk) was a complete and utter douchebag to my friends. One of my friends asked if they carried a certain wine and Kirk's response was, \""Good God no.\""  It wasn't like we requested Night Train but this a-hole Kirk acted aghast, the needle skipped off the record, EF Hutton-style.  \""Good God no... too buttery.\"" That's a really pompous answer and made my friends feel like crap.  Thanks Kirk, you pretentious wine Nazi.  I hope your acrid douchebaggery gets you far in life.  A better answer would have been, \""Sorry sir, we don't carry that wine.\""  You're lucky you didn't get your twitty glasses knocked off your face.\n\nSecondly, the waiter (don't remember his name but he was a tall dude and also wore hipster 50s style glasses) suggested that we order a bunch of appetizers and pastas for the table.  We said sure, but I told him that some of the people don't eat shellfish so stay away from seafood.  What did we get?  Calamari (shellfish), crab salad (shellfish), and another seafood dish.  Moreover, we got 5 sets of 3 -- 15 appetizers for 10 people (with pasta and main dishes to come.)  It felt like the guy was trying to take advantage of us.  It was too much food.\n\nAlso, we received an extra dessert that nobody ordered.  We pointed it out to the waiter and instead of just leaving it (which is typically what is done in a fine restaurant, considering that we're running up a bill of over $2,000) he took the dessert away.  I mean, how much of a dick can you be?  We spend over $2,000 there and you're going to take a cruddy little dessert off the table?  I think that really says it all.\n\nOn the spectrum of \""fine restaurants\"" this gets 1 star; on the spectrum of all restaurants, maybe 2.5-3 stars. None of us will ever eat there again and I'll do my best to spread the word about how crappy the service and food is at this place.  I will continue to patronize Mario Batali's restaurants because I can only presume he doesn't know how bad this place really is but if you have good taste and know what it is to get good service, you'll give the middle finger to Carnevino.",0.0,0.979576587677002
584751,1,"I love there food, but the wait.....The long long long never ending wait for food. I honestly can't tell if the food is good or if I'm so starved and on the verge of fainting that when I get my food I inhale it out of sheer animal instinct. I have been here many times and the service is just terrible every time, it takes 30 min for the sorry to take our parser and another 40 for the chief to make outer food even if were the only ones here. I'm sitting here waiting for my food as I'm writing. \n\nIm eating a fruit leather as obviously as I can becuase I legit my pass out and still no rush in service.... \n\nHeres my tip, eat before you come so your hungry when you get your food.",0.0,0.9971495270729065
611725,1,"It was on time. That's all the good I can say. The fingers were out of A box and as plain as could be. Kind of like the frozen kids Dino fingers.  The pizza was not cooked all the way. There was no cheese to be seen or tasted for sure. The meatball were from the same brand as those fingers.  Like children's frozen food. I have been getting these flyers for years. I finally decide to try them, and I am so disappointed.   Bummer.",0.0,0.9995111227035522
84197,4,Excellent restaurant. Ate here over 30 times. Highly recommend.,1.0,0.9998577833175659
544472,3,"This restaurant was better than what people reviewed. Good service, decent food, very affordable, and some what clean. \nYou are in the Chinese restaurant. Don't look for super clean.",1.0,0.998490571975708
534837,3,"M and I came here for a Sunday brunch to get caught up with the latest and greatest.  We opted to sit in the patio.  It was a nice and warm day.  The patio is doggy friendly!!!   That is cool.  I would love to bring my dogs, but I think I will eat the other (small) dogs for brunch.  =)  \n\nThey have a great brunch menu but I opted for the Grilled Chicken Pie flatbread (it was calling my name) and a side of french fries.  M ordered the biscuits & beer gravy for $10 includes your choice of a 10oz AZ beer.  The flatbread was so good.  Flavorful, light thin bread, and baked to perfection.  M's biscuits and beer gravy was very good too.\n\nWhy 4 stars?  The service was good but slow.",1.0,0.9992154836654663
100458,4,Great food. Great service.,1.0,0.9998834133148193
633243,2,"Review on the buffet. Food is decent. Spicy dishes not overly spicy but oily. Dishes are flavorful. About 6 different curries to try. Not much stuff inside the curry. They had some steamed veggies that I just added to my curry. Also, they didn't refill their stuff often. So there was supposed to be a fish dish, but they refilled the eggs rolls and the fried wonton like twice instead. So you can see what they want you to stuff yourself up with first.  \n\nThe flavor of the pad see ew was good, but I just didn't like the overly oilyness. Also, the fried rice was not good. Just hard. The pad thai is okay. \n\nNo sweet desserts...",0.0,0.5643749237060547
